game_id,game_date,home_team,away_team,home_score,away_score,home_win,home_win_prob_model,home_win_prob_model_calibrated,model_pick,actual_winner,correct,source_artifact_date,p_home_win,p_away_win,game_status
2024020253,2024-11-13,WSH,TOR,3.0,4.0,0.0,0.5493475377721819,0.5493475377721819,WSH,TOR,False,20260924,,,
2024020254,2024-11-13,UTA,CAR,4.0,1.0,1.0,0.5493475377721819,0.5493475377721819,UTA,UTA,True,20260924,,,
2024020255,2024-11-13,COL,LAK,4.0,2.0,1.0,0.5493475377721819,0.5493475377721819,COL,COL,True,20260924,,,
2024020256,2024-11-13,ANA,VGK,2.0,3.0,0.0,0.5493475377721819,0.5493475377721819,ANA,VGK,False,20260924,,,
2024020257,2024-11-14,BUF,STL,4.0,3.0,1.0,0.5493475377721819,0.5493475377721819,BUF,BUF,True,20260924,,,
2024020258,2024-11-14,OTT,PHI,4.0,5.0,0.0,0.5493475377721819,0.5493475377721819,OTT,PHI,False,20260924,,,
2024020259,2024-11-14,TBL,WPG,4.0,1.0,1.0,0.5493475377721819,0.5493475377721819,TBL,TBL,True,20260924,,,
2024020260,2024-11-14,FLA,NJD,2.0,6.0,0.0,0.5493475377721819,0.5493475377721819,FLA,NJD,False,20260924,,,
2024020261,2024-11-14,NYR,SJS,3.0,2.0,1.0,0.5493475377721819,0.5493475377721819,NYR,NYR,True,20260924,,,
2024020262,2024-11-14,DAL,BOS,7.0,2.0,1.0,0.5493475377721819,0.5493475377721819,DAL,DAL,True,20260924,,,
2024020263,2024-11-14,MIN,MTL,3.0,0.0,1.0,0.5493475377721819,0.5493475377721819,MIN,MIN,True,20260924,,,
2024020264,2024-11-14,EDM,NSH,3.0,2.0,1.0,0.5493475377721819,0.5493475377721819,EDM,EDM,True,20260924,,,
2024020265,2024-11-14,VAN,NYI,2.0,5.0,0.0,0.5493475377721819,0.5493475377721819,VAN,NYI,False,20260924,,,
2024020266,2024-11-14,SEA,CHI,3.0,1.0,1.0,0.5493475377721819,0.5493475377721819,SEA,SEA,True,20260924,,,
2024020267,2024-11-15,CBJ,PIT,6.0,2.0,1.0,0.5493475377721819,0.5493475377721819,CBJ,CBJ,True,20260924,,,
2024020268,2024-11-15,COL,WSH,2.0,5.0,0.0,0.5493475377721819,0.5493475377721819,COL,WSH,False,20260924,,,
2024020269,2024-11-15,CGY,NSH,2.0,0.0,1.0,0.5493475377721819,0.5493475377721819,CGY,CGY,True,20260924,,,
2024020270,2024-11-15,UTA,VGK,2.0,4.0,0.0,0.5493475377721819,0.5493475377721819,UTA,VGK,False,20260924,,,
2024020271,2024-11-15,ANA,DET,6.0,4.0,1.0,0.5493475377721819,0.5493475377721819,ANA,ANA,True,20260924,,,
2024020272,2024-11-16,BOS,STL,2.0,3.0,,,,BOS,STL,False,20260924,0.514799,0.485201,Final
2024020273,2024-11-16,SEA,NYI,3.0,2.0,,,,SEA,SEA,True,20260924,0.526083,0.473917,Final
2024020274,2024-11-16,TOR,EDM,4.0,3.0,,,,TOR,TOR,True,20260924,0.537375,0.462625,Final
2024020275,2024-11-16,MTL,CBJ,5.0,1.0,,,,MTL,MTL,True,20260924,0.540806,0.459194,Final
2024020276,2024-11-16,TBL,NJD,4.0,0.0,,,,TBL,TBL,True,20260924,0.534631,0.465369,Final
2024020277,2024-11-16,FLA,WPG,5.0,0.0,,,,FLA,FLA,True,20260924,0.550774,0.449226,Final
2024020278,2024-11-16,PHI,BUF,5.0,2.0,,,,PHI,PHI,True,20260924,0.563718,0.436282,Final
2024020279,2024-11-16,PIT,SJS,4.0,3.0,,,,PIT,PIT,True,20260924,0.547339,0.452661,Final
2024020280,2024-11-16,CAR,OTT,4.0,0.0,,,,CAR,CAR,True,20260924,0.551296,0.448704,Final
2024020281,2024-11-16,MIN,DAL,1.0,2.0,,,,MIN,DAL,False,20260924,0.549061,0.450939,Final
2024020282,2024-11-16,LAK,DET,4.0,1.0,,,,LAK,LAK,True,20260924,0.528371,0.471629,Final
2024020283,2024-11-16,VAN,CHI,4.0,1.0,,,,VAN,VAN,True,20260924,0.530512,0.469488,Final
2024020284,2024-11-17,CAR,STL,4.0,1.0,,,,CAR,CAR,True,20260924,0.558507,0.441493,Final
2024020285,2024-11-17,VAN,NSH,3.0,5.0,,,,VAN,NSH,False,20260924,0.565006,0.434994,Final
2024020286,2024-11-17,VGK,WSH,2.0,5.0,,,,VGK,WSH,False,20260924,0.558484,0.441516,Final
2024020287,2024-11-17,SEA,NYR,0.0,2.0,,,,SEA,NYR,False,20260924,0.551964,0.448036,Final
2024020288,2024-11-18,BOS,CBJ,1.0,5.0,,,,BOS,CBJ,False,20260924,0.558507,0.441493,Final
2024020289,2024-11-18,PHI,COL,2.0,3.0,,,,PHI,COL,False,20260924,0.565006,0.434994,Final
2024020290,2024-11-18,MTL,EDM,3.0,0.0,,,,MTL,MTL,True,20260924,0.558484,0.441516,Final
2024020291,2024-11-18,DAL,ANA,2.0,4.0,,,,DAL,ANA,False,20260924,0.558507,0.441493,Final
2024020292,2024-11-18,UTA,WSH,2.0,6.0,,,,UTA,WSH,False,20260924,0.558484,0.441516,Final
2024020293,2024-11-18,SJS,DET,5.0,4.0,,,,SJS,SJS,True,20260924,0.558507,0.441493,Final
2024020294,2024-11-19,OTT,EDM,2.0,5.0,,,,OTT,EDM,False,20260924,0.565006,0.434994,Final
2024020295,2024-11-19,PIT,TBL,2.0,3.0,,,,PIT,TBL,False,20260924,0.558484,0.441516,Final
2024020296,2024-11-19,STL,MIN,2.0,4.0,,,,STL,MIN,False,20260924,0.558484,0.441516,Final
2024020297,2024-11-19,WPG,FLA,6.0,3.0,,,,WPG,WPG,True,20260924,0.551964,0.448036,Final
2024020298,2024-11-19,CHI,ANA,2.0,3.0,,,,CHI,ANA,False,20260924,0.551964,0.448036,Final
2024020299,2024-11-19,CGY,NYI,2.0,1.0,,,,CGY,CGY,True,20260924,0.551964,0.448036,Final
2024020300,2024-11-19,VAN,NYR,3.0,4.0,,,,VAN,NYR,False,20260924,0.558484,0.441516,Final
2024020301,2024-11-20,TOR,VGK,3.0,0.0,,,,TOR,TOR,True,20260924,0.558507,0.441493,Final
2024020302,2024-11-20,PHI,CAR,1.0,4.0,,,,PHI,CAR,False,20260924,0.558484,0.441516,Final
2024020303,2024-11-20,DAL,SJS,5.0,2.0,,,,DAL,DAL,True,20260924,0.558507,0.441493,Final
2024020304,2024-11-20,SEA,NSH,3.0,0.0,,,,SEA,SEA,True,20260924,0.558507,0.441493,Final
2024020305,2024-11-20,LAK,BUF,0.0,1.0,,,,LAK,BUF,False,20260924,0.558507,0.441493,Final
2024020306,2024-11-21,BOS,UTA,1.0,0.0,,,,BOS,BOS,True,20260924,0.565006,0.434994,Final
2024020307,2024-11-21,OTT,VGK,2.0,3.0,,,,OTT,VGK,False,20260924,0.558507,0.441493,Final
2024020308,2024-11-21,DET,NYI,2.0,1.0,,,,DET,DET,True,20260924,0.565006,0.434994,Final
2024020309,2024-11-21,NJD,CAR,4.0,2.0,,,,NJD,NJD,True,20260924,0.558484,0.441516,Final
2024020310,2024-11-21,WSH,COL,1.0,2.0,,,,WSH,COL,False,20260924,0.551964,0.448036,Final
2024020311,2024-11-21,CBJ,TBL,7.0,6.0,,,,CBJ,CBJ,True,20260924,0.558484,0.441516,Final
2024020312,2024-11-21,STL,SJS,3.0,2.0,,,,STL,STL,True,20260924,0.558507,0.441493,Final
