season,team,n,mean_age,mean_exp
2021,CLE,1,,0.0
2022,CLE,12,25.711938985039602,1.5
2023,CLE,8,27.045402692219938,1.5
2024,CLE,15,25.685884273153267,2.0
2025,CLE,15,27.52087611225188,3.0
2026,CLE,102,25.812267469046702,2.607843137254902
2019,DAL,93,26.22407892562959,3.3118279569892475
2020,DAL,5,29.036550308008213,6.0
2021,DAL,3,26.368240930869266,2.0
2022,DAL,10,26.836413415468854,1.5
2023,DAL,6,27.616700889801507,1.1666666666666667
2024,DAL,15,25.81592516541182,2.6666666666666665
2025,DAL,5,28.332192562172025,3.6
2026,DAL,97,26.482061373488477,3.2783505154639174
2018,DEN,106,25.8957256484694,2.5754716981132075
2019,DEN,98,25.608020292305838,2.4693877551020407
2020,DEN,9,26.251730169594644,3.2222222222222223
2021,DEN,1,,0.0
2022,DEN,9,26.862422997946613,2.0
2023,DEN,10,26.648186173853524,1.9
2024,DEN,8,25.443629607900654,1.75
2025,DEN,6,25.682409308692677,1.5
2026,DEN,99,26.603863722080206,3.1515151515151514
2018,DET,97,26.29798083504449,3.2783505154639174
2019,DET,101,25.888582060783435,2.702970297029703
2020,DET,8,26.428815879534564,3.5714285714285716
2021,DET,6,25.334245950262375,1.6666666666666667
2022,DET,8,26.80082135523614,2.0
2023,DET,8,26.937713894592747,1.5
2024,DET,16,26.755738078941363,3.375
2025,DET,15,26.709559662331735,2.2
2026,DET,103,26.50342570191311,3.349514563106796
2018,GB,105,25.57609980710597,2.3047619047619046
2020,GB,5,27.033538672142367,3.8
2021,GB,3,26.684462696783022,1.0
2022,GB,20,26.278282976434927,1.3
2023,GB,13,27.041752224503764,0.7692307692307693
2024,GB,10,24.973305954825463,1.1
2025,GB,8,26.19028062970568,1.375
2026,GB,100,25.966559108242887,2.55
2020,HOU,5,26.45749486652977,3.4
2021,HOU,1,26.50239561943874,4.0
2022,HOU,6,28.715674195756332,3.6666666666666665
2023,HOU,6,29.609856262833674,3.3333333333333335
2024,HOU,4,25.745379876796715,3.0
2025,HOU,5,29.813141683778234,4.8
2026,HOU,99,26.66588442358463,3.4343434343434343
2019,IND,94,25.739972621492125,2.574468085106383
2020,IND,9,28.465434633812453,4.777777777777778
2021,IND,3,25.7741273100616,2.0
2022,IND,15,27.538945927446957,1.6
2023,IND,12,28.07300935432352,3.0
2024,IND,8,25.009484697369707,1.25
2025,IND,17,27.3493041295916,0.5882352941176471
2026,IND,98,26.44382819280679,3.0510204081632653
2018,JAX,105,25.796475812998423,2.673076923076923
2019,JAX,111,25.619200666607146,2.481818181818182
2020,JAX,8,27.65811088295688,4.875
2021,JAX,3,28.072553045859,2.6666666666666665
2022,JAX,17,26.341166628640963,1.7647058823529411
2023,JAX,8,26.439425051334702,0.625
2024,JAX,11,26.828473648186172,2.5454545454545454
2025,JAX,11,25.540041067761805,0.9090909090909091
2026,JAX,102,26.288678986995208,3.0392156862745097
2020,KC,4,30.262833675564682,7.75
2021,KC,2,26.105407255304584,1.5
2022,KC,15,25.718979172777942,1.4666666666666666
2023,KC,11,26.867442391056354,1.4545454545454546
2024,KC,13,25.29395040277997,0.9230769230769231
2025,KC,11,26.40246406570842,0.5454545454545454
2026,KC,95,25.809020344561436,2.5473684210526315
2019,LA,85,25.303291984285487,2.211764705882353
2020,LA,6,25.683321925621723,3.2
2021,LA,4,25.932922655715263,0.75
2022,LA,10,24.977412731006158,0.9
2023,LA,16,,0.1875
2024,LA,8,24.748117727583846,0.75
2025,LA,12,26.949577914670318,1.5
2026,LA,97,26.658914226016787,2.9690721649484537
2019,LAC,102,25.985733488368258,2.607843137254902
2020,LAC,11,26.618878725654906,3.272727272727273
2021,LAC,9,24.939630390143737,1.3333333333333333
2022,LAC,14,26.01368925393566,0.9285714285714286
2023,LAC,16,27.032854209445585,1.125
2024,LAC,22,25.307258563932074,1.4545454545454546
2025,LAC,12,26.571233010658062,2.25
2026,LAC,95,26.195756331279945,2.8526315789473684
2020,LV,9,27.469161152939385,4.444444444444445
2021,LV,2,26.872005475701574,2.5
2022,LV,7,26.66050650239562,2.2857142857142856
2023,LV,14,27.050878393794203,2.7857142857142856
2024,LV,14,25.73931749291092,1.5714285714285714
2025,LV,16,26.496919917864474,1.5625
2026,LV,99,26.347184882547612,2.797979797979798
2018,MIA,92,26.37234770704997,3.152173913043478
2019,MIA,112,25.230435774583615,2.392857142857143
2020,MIA,11,27.692365129736796,4.363636363636363
2021,MIA,10,25.48847821127082,1.1
2022,MIA,12,29.177960301163587,2.25
2023,MIA,14,26.890257814282453,1.7857142857142858
2024,MIA,16,26.079984355138357,2.1875
2025,MIA,10,26.424366872005475,2.7
2026,MIA,104,25.575836433746044,2.3461538461538463
2018,MIN,90,25.894555746711802,2.7111111111111112
2020,MIN,12,25.94312737228548,2.6363636363636362
2021,MIN,2,36.4517453798768,6.0
2022,MIN,6,27.22655715263518,3.0
2023,MIN,17,28.18069815195072,2.0
2024,MIN,10,24.63586584531143,0.7
2025,MIN,8,28.12594113620808,1.625
2026,MIN,103,26.327892200582138,2.854368932038835
2020,NE,7,26.707278120009125,2.857142857142857
2021,NE,1,27.756331279945243,7.0
2022,NE,5,28.303901437371664,2.0
2023,NE,7,26.507871321013006,1.2857142857142858
2024,NE,14,24.787132101300475,1.0
2025,NE,11,27.35843029888204,0.8181818181818182
2026,NE,97,26.172893865944097,2.7628865979381443
2020,NO,9,27.16461327857632,3.7777777777777777
2021,NO,6,27.75085557837098,1.8333333333333333
2022,NO,11,26.618754277891853,1.1818181818181819
2023,NO,10,27.568788501026695,1.2
2024,NO,16,26.929500342231346,2.625
2025,NO,13,26.82381930184805,1.2307692307692308
2026,NO,103,26.279910674161187,3.029126213592233
2018,NYG,95,25.947700029835552,3.031578947368421
2019,NYG,99,25.704724441915502,2.6666666666666665
2020,NYG,8,28.04688569472964,5.25
2021,NYG,12,28.45265799680584,4.416666666666667
2022,NYG,11,27.457123301065803,3.1818181818181817
2023,NYG,10,26.94136436230892,1.7
2024,NYG,14,25.438349467096902,2.142857142857143
2025,NYG,9,26.79671457905544,1.5555555555555556
2026,NYG,101,26.875421012327106,3.900990099009901
2018,NYJ,99,25.895722108145105,2.757575757575758
2019,NYJ,109,26.255552157513797,2.908256880733945
2020,NYJ,12,29.602099018936798,6.909090909090909
2021,NYJ,2,26.422997946611908,3.0
2022,NYJ,1,,0.0
2023,NYJ,8,28.82591832078485,2.125
2024,NYJ,16,25.55657347443795,1.3125
2025,NYJ,9,24.987679671457904,1.2222222222222223
2026,NYJ,101,25.999433071301656,2.722772277227723
2018,OAK,101,26.77553468841566,3.5346534653465347
2019,OAK,96,25.963070849847988,2.8645833333333335
2020,PHI,3,29.420031941592516,6.333333333333333
2021,PHI,3,27.263518138261464,1.3333333333333333
2022,PHI,5,28.722792607802873,2.4
2023,PHI,7,26.537987679671456,1.0
2024,PHI,4,26.093771389459274,2.25
2025,PHI,9,24.41409993155373,0.5555555555555556
2026,PHI,103,26.453785347129955,3.3009708737864076
2018,PIT,95,25.958274442874032,2.789473684210526
2019,PIT,102,25.621524722140737,2.5098039215686274
2020,PIT,9,26.032511978097194,2.5555555555555554
2021,PIT,7,27.272416153319643,1.8571428571428572
2022,PIT,19,27.831817737361884,2.0526315789473686
2023,PIT,16,26.631987223362994,1.8125
2024,PIT,20,25.7119780971937,2.15
2025,PIT,8,27.177732146931323,3.125
2026,PIT,102,26.950435221482447,3.5294117647058822
2020,SEA,10,28.39644079397673,6.0
2021,SEA,5,24.49555099247091,0.8
2022,SEA,15,26.439425051334702,1.1333333333333333
2023,SEA,13,25.979466119096507,0.7692307692307693
2024,SEA,20,24.428554173209324,0.55
2025,SEA,4,,0.0
2026,SEA,102,26.488276898712943,3.0686274509803924
2018,SF,90,25.61241633110216,2.566666666666667
2020,SF,7,29.363840813532807,5.714285714285714
2021,SF,1,25.366187542778917,2.0
2022,SF,10,28.900296600501935,3.5
2023,SF,7,27.085557837097877,4.285714285714286
2024,SF,10,28.94811772758385,5.0
2025,SF,7,26.659365731234313,2.5714285714285716
2026,SF,99,27.417031367750056,4.171717171717172
2018,TB,109,25.873094393628275,2.614678899082569
2019,TB,101,25.640074023373135,2.5841584158415842
2020,TB,7,28.95355431700401,5.142857142857143
2021,TB,5,27.90326260552133,3.6
2022,TB,15,27.85626283367556,2.3333333333333335
