stadium,gameday,temp_f,wind_mph,precip_in,snow_in,source
MetLife Stadium,2018-09-30,60.9,16.3,0.0,0.0,open-meteo-archive
Nissan Stadium,2018-09-30,68.9,10.1,0.0,0.0,open-meteo-archive
Oakland-Alameda County Coliseum,2018-09-30,63.9,25.9,0.0,0.0,open-meteo-archive
Soldier Field,2018-09-30,58.6,29.3,0.315,0.0,open-meteo-archive
StubHub Center,2018-09-30,67.9,22.1,0.0,0.0,open-meteo-archive
TIAA Bank Stadium,2018-09-30,79.2,21.3,0.315,0.0,open-meteo-archive
Sports Authority Field at Mile High,2018-10-01,50.1,17.4,0.0,0.0,open-meteo-archive
Gillette Stadium,2018-10-04,62.3,28.4,0.043,0.0,open-meteo-archive
Arrowhead Stadium,2018-10-07,59.4,21.9,1.173,0.0,open-meteo-archive
Bank of America Stadium,2018-10-07,74.7,11.6,0.02,0.0,open-meteo-archive
CenturyLink Field,2018-10-07,51.7,14.5,0.091,0.0,open-meteo-archive
FirstEnergy Stadium,2018-10-07,67.8,24.2,0.37,0.0,open-meteo-archive
Heinz Field,2018-10-07,73.2,18.3,0.016,0.0,open-meteo-archive
Levi's Stadium,2018-10-07,65.9,24.4,0.0,0.0,open-meteo-archive
Lincoln Financial Field,2018-10-07,73.2,17.0,0.0,0.0,open-meteo-archive
MetLife Stadium,2018-10-07,71.2,18.6,0.004,0.0,open-meteo-archive
New Era Field,2018-10-07,65.6,25.9,0.594,0.0,open-meteo-archive
Paul Brown Stadium,2018-10-07,75.8,17.4,0.008,0.0,open-meteo-archive
StubHub Center,2018-10-07,66.1,19.2,0.0,0.0,open-meteo-archive
MetLife Stadium,2018-10-11,72.3,34.7,0.272,0.0,open-meteo-archive
FedExField,2018-10-14,51.5,15.2,0.012,0.0,open-meteo-archive
FirstEnergy Stadium,2018-10-14,48.7,18.3,0.0,0.0,open-meteo-archive
Gillette Stadium,2018-10-14,47.7,19.2,0.0,0.0,open-meteo-archive
Hard Rock Stadium,2018-10-14,80.0,16.1,0.098,0.0,open-meteo-archive
Mercedes-Benz Stadium,2018-10-14,63.8,17.0,0.0,0.0,open-meteo-archive
MetLife Stadium,2018-10-14,51.4,18.3,0.0,0.0,open-meteo-archive
Nissan Stadium,2018-10-14,59.8,25.1,0.657,0.0,open-meteo-archive
Paul Brown Stadium,2018-10-14,49.0,20.8,0.106,0.0,open-meteo-archive
Sports Authority Field at Mile High,2018-10-14,30.7,45.0,0.043,0.7161,open-meteo-archive
Wembley Stadium,2018-10-14,55.4,29.1,0.681,0.0,open-meteo-archive
Lambeau Field,2018-10-15,37.5,36.0,0.165,0.0,open-meteo-archive
Arrowhead Stadium,2018-10-21,46.2,23.0,0.0,0.0,open-meteo-archive
FedExField,2018-10-21,50.3,41.4,0.016,0.0,open-meteo-archive
Hard Rock Stadium,2018-10-21,78.7,22.4,0.012,0.0,open-meteo-archive
Levi's Stadium,2018-10-21,59.3,17.2,0.0,0.0,open-meteo-archive
Lincoln Financial Field,2018-10-21,48.5,36.0,0.008,0.0,open-meteo-archive
M&T Bank Stadium,2018-10-21,49.8,39.1,0.012,0.0,open-meteo-archive
MetLife Stadium,2018-10-21,46.8,39.1,0.012,0.0,open-meteo-archive
Raymond James Stadium,2018-10-21,77.7,20.8,0.0,0.0,open-meteo-archive
Soldier Field,2018-10-21,37.6,35.1,0.0,0.0,open-meteo-archive
TIAA Bank Stadium,2018-10-21,69.6,26.8,0.02,0.0,open-meteo-archive
Wembley Stadium,2018-10-21,53.3,26.4,0.008,0.0,open-meteo-archive
Mercedes-Benz Stadium,2018-10-22,49.5,19.2,0.0,0.0,open-meteo-archive
Arrowhead Stadium,2018-10-28,57.4,23.9,0.0,0.0,open-meteo-archive
Bank of America Stadium,2018-10-28,52.9,25.9,0.0,0.0,open-meteo-archive
Heinz Field,2018-10-28,45.4,31.8,0.209,0.0,open-meteo-archive
Los Angeles Memorial Coliseum,2018-10-28,64.7,20.1,0.0,0.0,open-meteo-archive
MetLife Stadium,2018-10-28,48.5,28.2,0.102,0.0,open-meteo-archive
Oakland-Alameda County Coliseum,2018-10-28,61.5,23.5,0.0,0.0,open-meteo-archive
Paul Brown Stadium,2018-10-28,50.8,46.8,0.059,0.0,open-meteo-archive
Soldier Field,2018-10-28,47.1,39.6,0.276,0.0,open-meteo-archive
Wembley Stadium,2018-10-28,42.5,33.1,0.004,0.0,open-meteo-archive
New Era Field,2018-10-29,43.0,37.4,0.24,0.0,open-meteo-archive
Levi's Stadium,2018-11-01,67.6,17.4,0.0,0.0,open-meteo-archive
Bank of America Stadium,2018-11-04,50.4,18.6,0.0,0.0,open-meteo-archive
CenturyLink Field,2018-11-04,53.7,45.9,0.846,0.0,open-meteo-archive
FedExField,2018-11-04,46.7,16.8,0.0,0.0,open-meteo-archive
FirstEnergy Stadium,2018-11-04,46.6,24.2,0.0,0.0,open-meteo-archive
Gillette Stadium,2018-11-04,45.4,35.8,0.0,0.0,open-meteo-archive
Hard Rock Stadium,2018-11-04,77.2,24.2,0.067,0.0,open-meteo-archive
M&T Bank Stadium,2018-11-04,45.4,14.5,0.0,0.0,open-meteo-archive
New Era Field,2018-11-04,43.0,31.8,0.0,0.0,open-meteo-archive
Sports Authority Field at Mile High,2018-11-04,38.1,15.9,0.047,0.0,open-meteo-archive
Heinz Field,2018-11-08,39.6,15.9,0.0,0.0,open-meteo-archive
Arrowhead Stadium,2018-11-11,35.5,17.2,0.0,0.0,open-meteo-archive
FirstEnergy Stadium,2018-11-11,32.7,28.9,0.0,0.0217,open-meteo-archive
Lambeau Field,2018-11-11,27.7,19.2,0.0,0.152,open-meteo-archive
Lincoln Financial Field,2018-11-11,36.6,17.7,0.0,0.0,open-meteo-archive
Los Angeles Memorial Coliseum,2018-11-11,59.7,20.8,0.0,0.0,open-meteo-archive
MetLife Stadium,2018-11-11,37.7,22.6,0.0,0.0,open-meteo-archive
Nissan Stadium,2018-11-11,35.7,9.4,0.0,0.0,open-meteo-archive
Oakland-Alameda County Coliseum,2018-11-11,55.4,26.4,0.0,0.0,open-meteo-archive
Paul Brown Stadium,2018-11-11,30.8,15.2,0.0,0.0,open-meteo-archive
Raymond James Stadium,2018-11-11,73.8,23.3,0.0,0.0,open-meteo-archive
Soldier Field,2018-11-11,31.7,23.3,0.0,0.0,open-meteo-archive
Levi's Stadium,2018-11-12,58.4,11.4,0.0,0.0,open-meteo-archive
CenturyLink Field,2018-11-15,50.6,19.7,0.031,0.0,open-meteo-archive
FedExField,2018-11-18,40.5,15.9,0.0,0.0,open-meteo-archive
M&T Bank Stadium,2018-11-18,38.7,17.0,0.0,0.0,open-meteo-archive
Mercedes-Benz Stadium,2018-11-18,48.1,10.1,0.0,0.0,open-meteo-archive
MetLife Stadium,2018-11-18,38.5,18.8,0.008,0.0217,open-meteo-archive
Soldier Field,2018-11-18,34.7,19.9,0.035,0.0976,open-meteo-archive
StubHub Center,2018-11-18,60.4,17.0,0.0,0.0,open-meteo-archive
TIAA Bank Stadium,2018-11-18,62.2,15.2,0.043,0.0,open-meteo-archive
Los Angeles Memorial Coliseum,2018-11-19,61.0,15.9,0.0,0.0,open-meteo-archive
Bank of America Stadium,2018-11-25,44.8,9.6,0.0,0.0,open-meteo-archive
Lincoln Financial Field,2018-11-25,46.9,26.6,1.646,0.0,open-meteo-archive
M&T Bank Stadium,2018-11-25,46.2,25.9,0.642,0.0,open-meteo-archive
MetLife Stadium,2018-11-25,46.3,37.1,1.516,0.0,open-meteo-archive
New Era Field,2018-11-25,42.2,30.4,0.059,0.0,open-meteo-archive
Paul Brown Stadium,2018-11-25,47.5,22.1,0.0,0.0,open-meteo-archive
Raymond James Stadium,2018-11-25,70.3,15.0,0.059,0.0,open-meteo-archive
Sports Authority Field at Mile High,2018-11-25,32.5,41.2,0.0,0.0327,open-meteo-archive
StubHub Center,2018-11-25,59.6,11.6,0.0,0.0,open-meteo-archive
CenturyLink Field,2018-12-02,42.6,8.9,0.126,0.0,open-meteo-archive
Gillette Stadium,2018-12-02,41.9,28.6,0.614,0.0,open-meteo-archive
Hard Rock Stadium,2018-12-02,77.5,28.0,0.043,0.0,open-meteo-archive
Heinz Field,2018-12-02,49.6,31.8,0.311,0.0,open-meteo-archive
Lambeau Field,2018-12-02,33.8,37.8,0.134,1.6059,open-meteo-archive
Mercedes-Benz Stadium,2018-12-02,64.0,27.7,0.244,0.0,open-meteo-archive
MetLife Stadium,2018-12-02,48.5,20.4,0.673,0.0,open-meteo-archive
Nissan Stadium,2018-12-02,58.0,35.3,0.016,0.0,open-meteo-archive
Oakland-Alameda County Coliseum,2018-12-02,48.1,23.7,0.0,0.0,open-meteo-archive
Paul Brown Stadium,2018-12-02,56.1,51.9,0.354,0.0,open-meteo-archive
Raymond James Stadium,2018-12-02,75.1,31.8,0.0,0.0,open-meteo-archive
TIAA Bank Stadium,2018-12-02,71.0,30.4,0.169,0.0,open-meteo-archive
Lincoln Financial Field,2018-12-03,54.0,29.1,0.047,0.0,open-meteo-archive
Nissan Stadium,2018-12-06,33.6,14.3,0.0,0.0,open-meteo-archive
Arrowhead Stadium,2018-12-09,25.6,14.1,0.0,0.0,open-meteo-archive
FedExField,2018-12-09,30.2,15.9,0.0,0.0217,open-meteo-archive
FirstEnergy Stadium,2018-12-09,24.0,11.0,0.0,0.0,open-meteo-archive
Hard Rock Stadium,2018-12-09,75.3,34.4,0.098,0.0,open-meteo-archive
Lambeau Field,2018-12-09,21.2,19.2,0.0,0.0,open-meteo-archive
Levi's Stadium,2018-12-09,52.7,12.5,0.0,0.0,open-meteo-archive
New Era Field,2018-12-09,25.4,22.4,0.0,0.0,open-meteo-archive
Oakland-Alameda County Coliseum,2018-12-09,50.0,17.7,0.0,0.0,open-meteo-archive
Raymond James Stadium,2018-12-09,68.5,47.0,1.413,0.0,open-meteo-archive
Soldier Field,2018-12-09,24.7,11.6,0.0,0.0,open-meteo-archive
StubHub Center,2018-12-09,55.7,11.0,0.0,0.0,open-meteo-archive
CenturyLink Field,2018-12-10,43.8,29.8,0.209,0.0,open-meteo-archive
Arrowhead Stadium,2018-12-13,41.4,20.8,0.067,0.0,open-meteo-archive
MetLife Stadium,2018-12-15,45.4,22.1,0.232,0.0,open-meteo-archive
Sports Authority Field at Mile High,2018-12-15,36.0,9.2,0.0,0.0,open-meteo-archive
Heinz Field,2018-12-16,40.3,23.9,0.642,0.0,open-meteo-archive
Levi's Stadium,2018-12-16,55.1,25.5,0.051,0.0,open-meteo-archive
Los Angeles Memorial Coliseum,2018-12-16,54.3,16.3,0.0,0.0,open-meteo-archive
M&T Bank Stadium,2018-12-16,44.6,38.0,2.075,0.0,open-meteo-archive
MetLife Stadium,2018-12-16,41.1,31.8,0.654,0.0,open-meteo-archive
New Era Field,2018-12-16,33.8,21.7,0.138,0.0,open-meteo-archive
Paul Brown Stadium,2018-12-16,45.0,22.4,0.055,0.0,open-meteo-archive
Soldier Field,2018-12-16,35.4,17.2,0.0,0.0,open-meteo-archive
TIAA Bank Stadium,2018-12-16,58.3,21.7,0.0,0.0,open-meteo-archive
Bank of America Stadium,2018-12-17,48.3,17.9,0.0,0.0,open-meteo-archive
Nissan Stadium,2018-12-22,38.2,20.4,0.0,0.0,open-meteo-archive
StubHub Center,2018-12-22,56.1,10.7,0.0,0.0,open-meteo-archive
Bank of America Stadium,2018-12-23,41.3,18.1,0.008,0.0,open-meteo-archive
CenturyLink Field,2018-12-23,43.2,28.0,0.441,0.0543,open-meteo-archive
FirstEnergy Stadium,2018-12-23,33.9,15.7,0.0,0.0,open-meteo-archive
Gillette Stadium,2018-12-23,33.6,34.2,0.0,0.0,open-meteo-archive
Hard Rock Stadium,2018-12-23,59.4,15.2,0.0,0.0,open-meteo-archive
Levi's Stadium,2018-12-23,51.7,13.9,0.0,0.0,open-meteo-archive
Lincoln Financial Field,2018-12-23,39.2,21.5,0.0,0.0,open-meteo-archive
MetLife Stadium,2018-12-23,37.8,28.0,0.0,0.0,open-meteo-archive
Oakland-Alameda County Coliseum,2018-12-24,52.3,34.4,0.256,0.0,open-meteo-archive
Arrowhead Stadium,2018-12-30,28.4,26.6,0.0,0.0,open-meteo-archive
CenturyLink Field,2018-12-30,43.5,30.9,0.35,0.0,open-meteo-archive
FedExField,2018-12-30,39.1,11.9,0.0,0.0,open-meteo-archive
Gillette Stadium,2018-12-30,30.3,24.2,0.0,0.011,open-meteo-archive
Heinz Field,2018-12-30,34.9,20.6,0.0,0.0,open-meteo-archive
Lambeau Field,2018-12-30,23.3,25.9,0.0,0.0,open-meteo-archive
Los Angeles Memorial Coliseum,2018-12-30,50.2,13.2,0.0,0.0,open-meteo-archive
M&T Bank Stadium,2018-12-30,38.0,13.2,0.004,0.0,open-meteo-archive
MetLife Stadium,2018-12-30,35.7,16.6,0.0,0.0327,open-meteo-archive
New Era Field,2018-12-30,30.6,34.4,0.0,0.4555,open-meteo-archive
Nissan Stadium,2018-12-30,42.3,11.6,0.0,0.0,open-meteo-archive
Raymond James Stadium,2018-12-30,72.0,12.1,0.0,0.0,open-meteo-archive
Sports Authority Field at Mile High,2018-12-30,34.6,22.4,0.0,0.0,open-meteo-archive
M&T Bank Stadium,2019-01-06,44.8,26.6,0.0,0.0,open-meteo-archive
Soldier Field,2019-01-06,37.2,22.4,0.0,0.0,open-meteo-archive
Arrowhead Stadium,2019-01-12,32.2,20.8,0.024,2.5496,open-meteo-archive
Los Angeles Memorial Coliseum,2019-01-12,53.7,26.2,0.606,0.0,open-meteo-archive
Gillette Stadium,2019-01-13,20.9,18.6,0.0,0.0,open-meteo-archive
Arrowhead Stadium,2019-01-20,12.1,25.5,0.0,0.0,open-meteo-archive
Soldier Field,2019-09-05,63.3,15.4,0.0,0.0,open-meteo-archive
Bank of America Stadium,2019-09-08,79.9,18.8,0.0,0.0,open-meteo-archive
CenturyLink Field,2019-09-08,62.7,26.6,0.323,0.0,open-meteo-archive
FirstEnergy Stadium,2019-09-08,65.8,20.1,0.016,0.0,open-meteo-archive
Gillette Stadium,2019-09-08,65.0,24.4,0.0,0.0,open-meteo-archive
Hard Rock Stadium,2019-09-08,82.7,14.1,0.067,0.0,open-meteo-archive
Lincoln Financial Field,2019-09-08,69.9,16.6,0.0,0.0,open-meteo-archive
MetLife Stadium,2019-09-08,67.4,17.2,0.0,0.0,open-meteo-archive
Raymond James Stadium,2019-09-08,81.5,17.0,0.004,0.0,open-meteo-archive
StubHub Center,2019-09-08,70.7,28.6,0.0,0.0,open-meteo-archive
TIAA Bank Stadium,2019-09-08,81.5,18.8,0.0,0.0,open-meteo-archive
Ring Central Coliseum,2019-09-09,64.8,32.2,0.0,0.0,open-meteo-archive
Bank of America Stadium,2019-09-12,84.1,12.1,0.0,0.0,open-meteo-archive
Empower Field at Mile High,2019-09-15,69.8,23.5,0.0,0.0,open-meteo-archive
FedExField,2019-09-15,76.5,15.2,0.043,0.0,open-meteo-archive
Hard Rock Stadium,2019-09-15,81.4,22.6,0.169,0.0,open-meteo-archive
Heinz Field,2019-09-15,67.4,11.4,0.0,0.0,open-meteo-archive
Lambeau Field,2019-09-15,68.0,16.8,0.063,0.0,open-meteo-archive
Los Angeles Memorial Coliseum,2019-09-15,73.1,23.3,0.0,0.0,open-meteo-archive
M&T Bank Stadium,2019-09-15,75.8,15.9,0.079,0.0,open-meteo-archive
Mercedes-Benz Stadium,2019-09-15,79.1,22.1,0.0,0.0,open-meteo-archive
MetLife Stadium,2019-09-15,72.1,18.3,0.02,0.0,open-meteo-archive
Nissan Stadium,2019-09-15,80.8,10.7,0.0,0.0,open-meteo-archive
Paul Brown Stadium,2019-09-15,72.2,16.8,0.0,0.0,open-meteo-archive
Ring Central Coliseum,2019-09-15,62.6,32.0,0.0,0.0,open-meteo-archive
MetLife Stadium,2019-09-16,70.4,20.4,0.031,0.0,open-meteo-archive
TIAA Bank Stadium,2019-09-19,77.2,30.6,0.043,0.0,open-meteo-archive
Arrowhead Stadium,2019-09-22,74.6,31.3,1.677,0.0,open-meteo-archive
CenturyLink Field,2019-09-22,62.4,18.8,0.26,0.0,open-meteo-archive
FirstEnergy Stadium,2019-09-22,77.5,22.4,0.0,0.0,open-meteo-archive
Gillette Stadium,2019-09-22,69.5,23.7,0.0,0.0,open-meteo-archive
Lambeau Field,2019-09-22,70.3,30.9,1.386,0.0,open-meteo-archive
Levi's Stadium,2019-09-22,71.5,28.0,0.0,0.0,open-meteo-archive
Lincoln Financial Field,2019-09-22,73.1,15.9,0.0,0.0,open-meteo-archive
New Era Field,2019-09-22,74.2,29.8,0.0,0.0,open-meteo-archive
Raymond James Stadium,2019-09-22,79.3,29.1,0.0,0.0,open-meteo-archive
StubHub Center,2019-09-22,72.8,26.2,0.0,0.0,open-meteo-archive
FedExField,2019-09-23,80.5,26.6,0.0,0.0,open-meteo-archive
Lambeau Field,2019-09-26,60.4,28.2,0.0,0.0,open-meteo-archive
Empower Field at Mile High,2019-09-29,66.2,37.6,0.0,0.0,open-meteo-archive
Hard Rock Stadium,2019-09-29,81.0,32.0,0.039,0.0,open-meteo-archive
Los Angeles Memorial Coliseum,2019-09-29,65.1,28.0,0.004,0.0,open-meteo-archive
M&T Bank Stadium,2019-09-29,76.7,25.3,0.008,0.0,open-meteo-archive
MetLife Stadium,2019-09-29,70.6,21.9,0.0,0.0,open-meteo-archive
New Era Field,2019-09-29,60.1,21.7,0.024,0.0,open-meteo-archive
Soldier Field,2019-09-29,62.0,24.6,0.52,0.0,open-meteo-archive
Heinz Field,2019-09-30,70.5,21.5,0.323,0.0,open-meteo-archive
CenturyLink Field,2019-10-03,55.2,30.4,0.051,0.0,open-meteo-archive
Arrowhead Stadium,2019-10-06,58.1,17.2,0.012,0.0,open-meteo-archive
Bank of America Stadium,2019-10-06,66.2,17.7,0.067,0.0,open-meteo-archive
FedExField,2019-10-06,65.8,33.6,0.075,0.0,open-meteo-archive
Heinz Field,2019-10-06,63.1,24.2,0.008,0.0,open-meteo-archive
Lincoln Financial Field,2019-10-06,63.8,30.9,0.004,0.0,open-meteo-archive
MetLife Stadium,2019-10-06,61.4,25.7,0.043,0.0,open-meteo-archive
Nissan Stadium,2019-10-06,74.6,25.7,0.346,0.0,open-meteo-archive
Paul Brown Stadium,2019-10-06,69.4,29.1,0.098,0.0,open-meteo-archive
StubHub Center,2019-10-06,66.7,20.1,0.0,0.0,open-meteo-archive
Tottenham Stadium,2019-10-06,55.9,38.0,0.429,0.0,open-meteo-archive
Levi's Stadium,2019-10-07,73.2,19.0,0.0,0.0,open-meteo-archive
Gillette Stadium,2019-10-10,52.1,37.1,0.201,0.0,open-meteo-archive
Arrowhead Stadium,2019-10-13,53.5,29.3,0.0,0.0,open-meteo-archive
Empower Field at Mile High,2019-10-13,44.5,15.0,0.0,0.0,open-meteo-archive
FirstEnergy Stadium,2019-10-13,52.5,27.5,0.0,0.0,open-meteo-archive
Hard Rock Stadium,2019-10-13,78.9,20.4,0.098,0.0,open-meteo-archive
Los Angeles Memorial Coliseum,2019-10-13,64.2,23.7,0.0,0.0,open-meteo-archive
M&T Bank Stadium,2019-10-13,58.2,15.9,0.071,0.0,open-meteo-archive
MetLife Stadium,2019-10-13,58.1,16.8,0.0,0.0,open-meteo-archive
StubHub Center,2019-10-13,64.3,19.2,0.0,0.0,open-meteo-archive
TIAA Bank Stadium,2019-10-13,75.2,21.0,0.0,0.0,open-meteo-archive
Tottenham Stadium,2019-10-13,55.3,38.0,0.26,0.0,open-meteo-archive
Lambeau Field,2019-10-14,40.2,24.2,0.0,0.0,open-meteo-archive
Empower Field at Mile High,2019-10-17,56.3,12.1,0.0,0.0,open-meteo-archive
CenturyLink Field,2019-10-20,49.0,27.3,0.051,0.0,open-meteo-archive
FedExField,2019-10-20,54.0,29.3,1.24,0.0,open-meteo-archive
Lambeau Field,2019-10-20,51.0,11.2,0.043,0.0,open-meteo-archive
Lucas Oil Stadium,2019-10-20,58.5,16.6,0.02,0.0,open-meteo-archive
Mercedes-Benz Stadium,2019-10-20,61.1,30.0,0.035,0.0,open-meteo-archive
MetLife Stadium,2019-10-20,52.6,11.9,0.362,0.0,open-meteo-archive
New Era Field,2019-10-20,54.5,19.2,0.0,0.0,open-meteo-archive
Nissan Stadium,2019-10-20,62.6,11.0,0.008,0.0,open-meteo-archive
Paul Brown Stadium,2019-10-20,61.2,16.1,0.0,0.0,open-meteo-archive
Soldier Field,2019-10-20,53.5,16.6,0.004,0.0,open-meteo-archive
MetLife Stadium,2019-10-21,55.5,21.0,0.146,0.0,open-meteo-archive
Arrowhead Stadium,2019-10-27,50.3,14.3,0.0,0.0,open-meteo-archive
Gillette Stadium,2019-10-27,48.6,38.5,0.768,0.0,open-meteo-archive
Levi's Stadium,2019-10-27,62.7,33.1,0.0,0.0,open-meteo-archive
Lucas Oil Stadium,2019-10-27,54.9,45.6,0.035,0.0,open-meteo-archive
Mercedes-Benz Stadium,2019-10-27,65.4,32.0,0.138,0.0,open-meteo-archive
New Era Field,2019-10-27,55.2,55.9,0.996,0.0,open-meteo-archive
Nissan Stadium,2019-10-27,59.8,26.4,0.043,0.0,open-meteo-archive
Soldier Field,2019-10-27,49.4,41.6,1.252,0.0,open-meteo-archive
TIAA Bank Stadium,2019-10-27,77.6,25.5,0.126,0.0,open-meteo-archive
Wembley Stadium,2019-10-27,44.2,14.5,0.0,0.0,open-meteo-archive
Heinz Field,2019-10-28,52.4,13.2,0.0,0.0,open-meteo-archive
Arrowhead Stadium,2019-11-03,46.3,27.1,0.0,0.0,open-meteo-archive
Bank of America Stadium,2019-11-03,47.6,20.8,0.0,0.0,open-meteo-archive
CenturyLink Field,2019-11-03,45.4,13.2,0.0,0.0,open-meteo-archive
Empower Field at Mile High,2019-11-03,25.4,10.1,0.0,0.0,open-meteo-archive
Hard Rock Stadium,2019-11-03,76.8,24.8,0.465,0.0,open-meteo-archive
Heinz Field,2019-11-03,40.7,24.6,0.004,0.0,open-meteo-archive
Lincoln Financial Field,2019-11-03,44.2,23.0,0.0,0.0,open-meteo-archive
M&T Bank Stadium,2019-11-03,44.5,22.6,0.0,0.0,open-meteo-archive
New Era Field,2019-11-03,40.1,40.7,0.232,0.011,open-meteo-archive
Ring Central Coliseum,2019-11-03,61.0,16.3,0.0,0.0,open-meteo-archive
StubHub Center,2019-11-03,61.9,16.8,0.0,0.0,open-meteo-archive
Wembley Stadium,2019-11-03,47.0,22.6,0.091,0.0,open-meteo-archive
MetLife Stadium,2019-11-04,45.7,21.9,0.0,0.0,open-meteo-archive
Ring Central Coliseum,2019-11-07,54.9,19.0,0.0,0.0,open-meteo-archive
FirstEnergy Stadium,2019-11-10,41.7,23.0,0.012,0.0,open-meteo-archive
Heinz Field,2019-11-10,40.7,21.5,0.0,0.0,open-meteo-archive
Lambeau Field,2019-11-10,33.0,18.6,0.02,0.065,open-meteo-archive
MetLife Stadium,2019-11-10,39.6,18.8,0.0,0.0,open-meteo-archive
Nissan Stadium,2019-11-10,48.3,19.7,0.0,0.0,open-meteo-archive
Paul Brown Stadium,2019-11-10,45.2,23.0,0.0,0.0,open-meteo-archive
Raymond James Stadium,2019-11-10,66.0,19.2,0.0,0.0,open-meteo-archive
Soldier Field,2019-11-10,38.9,21.9,0.004,0.0,open-meteo-archive
Levi's Stadium,2019-11-11,60.5,15.7,0.0,0.0,open-meteo-archive
FirstEnergy Stadium,2019-11-14,32.1,25.9,0.0,0.0543,open-meteo-archive
Bank of America Stadium,2019-11-17,44.4,30.2,0.0,0.0,open-meteo-archive
FedExField,2019-11-17,38.0,25.7,0.0,0.0,open-meteo-archive
Hard Rock Stadium,2019-11-17,61.5,20.8,0.0,0.0,open-meteo-archive
Levi's Stadium,2019-11-17,61.1,17.7,0.0,0.0,open-meteo-archive
Lincoln Financial Field,2019-11-17,34.6,26.2,0.0,0.0,open-meteo-archive
Los Angeles Memorial Coliseum,2019-11-17,67.2,19.0,0.0,0.0,open-meteo-archive
M&T Bank Stadium,2019-11-17,37.3,22.8,0.0,0.0,open-meteo-archive
Raymond James Stadium,2019-11-17,54.0,24.4,0.0,0.0,open-meteo-archive
Ring Central Coliseum,2019-11-17,60.4,16.3,0.0,0.0,open-meteo-archive
Azteca Stadium,2019-11-18,60.0,19.2,0.008,0.0,open-meteo-archive
FedExField,2019-11-24,43.2,38.9,0.72,0.0,open-meteo-archive
FirstEnergy Stadium,2019-11-24,38.3,28.6,0.142,0.011,open-meteo-archive
