game_pk,game_date,kind,home_expected_runs,away_expected_runs,alpha_home,alpha_away,p_over_6_5,p_over_7_0,p_over_7_5,p_over_8_0,p_over_8_5,p_over_9_0,p_over_9_5,p_over_10_0,p_over_10_5,p_over_11_0,p_over_11_5,p_over_12_0,p_over_12_5,p_push_6_5,p_push_7_0,p_push_7_5,p_push_8_0,p_push_8_5,p_push_9_0,p_push_9_5,p_push_10_0,p_push_10_5,p_push_11_0,p_push_11_5,p_push_12_0,p_push_12_5,p_under_6_5,p_under_7_0,p_under_7_5,p_under_8_0,p_under_8_5,p_under_9_0,p_under_9_5,p_under_10_0,p_under_10_5,p_under_11_0,p_under_11_5,p_under_12_0,p_under_12_5,p_home_cover_0_5,p_home_cover_1_5,p_home_cover_2_5,p_home_cover_3_5,p_rl_1_0_home,p_rl_1_0_push,p_rl_1_0_away,p_rl_1_5_home,p_rl_1_5_push,p_rl_1_5_away,p_rl_2_0_home,p_rl_2_0_push,p_rl_2_0_away,p_rl_2_5_home,p_rl_2_5_push,p_rl_2_5_away,p_rl_3_0_home,p_rl_3_0_push,p_rl_3_0_away,p_rl_3_5_home,p_rl_3_5_push,p_rl_3_5_away,p_rl_4_0_home,p_rl_4_0_push,p_rl_4_0_away,p_home_win_derived,p_away_win_derived,home_score,away_score,total_runs,ml_win_prob,agreement_conflict
746083,2024-04-03,oof,4.6377,5.2319,0.2799,0.3296,0.7279,0.641,0.641,0.5558,0.5558,0.4703,0.4703,0.3944,0.3944,0.3266,0.3266,0.2622,0.2622,0.0,0.0869,0.0,0.0852,0.0,0.0855,0.0,0.0759,0.0,0.0678,0.0,0.0644,0.0,0.2721,0.2721,0.359,0.359,0.4442,0.4442,0.5297,0.5297,0.6056,0.6056,0.6734,0.6734,0.7378,0.48002,0.3281,0.2502,0.1876,0.3281,0.15192,0.51998,0.3281,0.0,0.6719,0.2502,0.0779,0.6719,0.2502,0.0,0.7498,0.1876,0.0626,0.7498,0.1876,0.0,0.8124,0.1346,0.053,0.8124,0.48002,0.51998,2,10,12,,False
746163,2024-04-03,oof,4.6377,5.2319,0.2799,0.3296,0.728,0.6407,0.6407,0.5547,0.5547,0.4721,0.4721,0.3969,0.3969,0.3299,0.3299,0.2669,0.2669,0.0,0.0873,0.0,0.086,0.0,0.0826,0.0,0.0752,0.0,0.067,0.0,0.063,0.0,0.272,0.272,0.3593,0.3593,0.4453,0.4453,0.5279,0.5279,0.6031,0.6031,0.6701,0.6701,0.7331,0.48071,0.331,0.2492,0.1856,0.331,0.14971,0.51929,0.331,0.0,0.669,0.2492,0.0818,0.669,0.2492,0.0,0.7508,0.1856,0.0636,0.7508,0.1856,0.0,0.8144,0.1347,0.0509,0.8144,0.48071,0.51929,5,4,9,,False
746407,2024-04-03,oof,4.6377,5.2319,0.2799,0.3296,0.7349,0.6506,0.6506,0.5678,0.5678,0.4801,0.4801,0.4052,0.4052,0.3307,0.3307,0.2667,0.2667,0.0,0.0843,0.0,0.0828,0.0,0.0877,0.0,0.0749,0.0,0.0745,0.0,0.064,0.0,0.2651,0.2651,0.3494,0.3494,0.4322,0.4322,0.5199,0.5199,0.5948,0.5948,0.6693,0.6693,0.7333,0.48637,0.3271,0.2513,0.1845,0.3271,0.15927,0.51363,0.3271,0.0,0.6729,0.2513,0.0758,0.6729,0.2513,0.0,0.7487,0.1845,0.0668,0.7487,0.1845,0.0,0.8155,0.1315,0.053,0.8155,0.48637,0.51363,8,0,8,,False
746900,2024-04-03,oof,4.6377,5.2319,0.2799,0.3296,0.7316,0.6468,0.6468,0.5578,0.5578,0.474,0.474,0.3984,0.3984,0.3322,0.3322,0.2662,0.2662,0.0,0.0848,0.0,0.089,0.0,0.0838,0.0,0.0756,0.0,0.0662,0.0,0.066,0.0,0.2684,0.2684,0.3532,0.3532,0.4422,0.4422,0.526,0.526,0.6016,0.6016,0.6678,0.6678,0.7338,0.48383,0.3261,0.2476,0.186,0.3261,0.15773,0.51617,0.3261,0.0,0.6739,0.2476,0.0785,0.6739,0.2476,0.0,0.7524,0.186,0.0616,0.7524,0.186,0.0,0.814,0.1372,0.0488,0.814,0.48383,0.51617,9,8,17,,False
747059,2024-04-03,oof,4.6377,5.2319,0.2799,0.3296,0.7295,0.6468,0.6468,0.5629,0.5629,0.4807,0.4807,0.4028,0.4028,0.3324,0.3324,0.2651,0.2651,0.0,0.0827,0.0,0.0839,0.0,0.0822,0.0,0.0779,0.0,0.0704,0.0,0.0673,0.0,0.2705,0.2705,0.3532,0.3532,0.4371,0.4371,0.5193,0.5193,0.5972,0.5972,0.6676,0.6676,0.7349,0.47707,0.3189,0.2395,0.1776,0.3189,0.15817,0.52293,0.3189,0.0,0.6811,0.2395,0.0794,0.6811,0.2395,0.0,0.7605,0.1776,0.0619,0.7605,0.1776,0.0,0.8224,0.1266,0.051,0.8224,0.47707,0.52293,4,3,7,,False
747219,2024-04-03,oof,4.6377,5.2319,0.2799,0.3296,0.7302,0.6426,0.6426,0.5579,0.5579,0.4784,0.4784,0.3991,0.3991,0.3315,0.3315,0.271,0.271,0.0,0.0876,0.0,0.0847,0.0,0.0795,0.0,0.0793,0.0,0.0676,0.0,0.0605,0.0,0.2698,0.2698,0.3574,0.3574,0.4421,0.4421,0.5216,0.5216,0.6009,0.6009,0.6685,0.6685,0.729,0.48458,0.3297,0.2494,0.185,0.3297,0.15488,0.51542,0.3297,0.0,0.6703,0.2494,0.0803,0.6703,0.2494,0.0,0.7506,0.185,0.0644,0.7506,0.185,0.0,0.815,0.1355,0.0495,0.815,0.48458,0.51542,5,6,11,,False
744870,2024-04-04,oof,4.6377,5.2319,0.2799,0.3296,0.7277,0.6458,0.6458,0.5566,0.5566,0.4723,0.4723,0.3971,0.3971,0.3294,0.3294,0.2659,0.2659,0.0,0.0819,0.0,0.0892,0.0,0.0843,0.0,0.0752,0.0,0.0677,0.0,0.0635,0.0,0.2723,0.2723,0.3542,0.3542,0.4434,0.4434,0.5277,0.5277,0.6029,0.6029,0.6706,0.6706,0.7341,0.48689,0.3324,0.2574,0.1894,0.3324,0.15449,0.51311,0.3324,0.0,0.6676,0.2574,0.075,0.6676,0.2574,0.0,0.7426,0.1894,0.068,0.7426,0.1894,0.0,0.8106,0.1409,0.0485,0.8106,0.48689,0.51311,4,7,11,,False
745200,2024-04-04,oof,4.6377,5.2319,0.2799,0.3296,0.7297,0.6453,0.6453,0.5591,0.5591,0.4718,0.4718,0.3905,0.3905,0.3243,0.3243,0.2641,0.2641,0.0,0.0844,0.0,0.0862,0.0,0.0873,0.0,0.0813,0.0,0.0662,0.0,0.0602,0.0,0.2703,0.2703,0.3547,0.3547,0.4409,0.4409,0.5282,0.5282,0.6095,0.6095,0.6757,0.6757,0.7359,0.47561,0.3196,0.2447,0.1845,0.3196,0.15601,0.52439,0.3196,0.0,0.6804,0.2447,0.0749,0.6804,0.2447,0.0,0.7553,0.1845,0.0602,0.7553,0.1845,0.0,0.8155,0.1332,0.0513,0.8155,0.47561,0.52439,8,5,13,,False
745843,2024-04-04,oof,4.6377,5.2319,0.2799,0.3296,0.7357,0.6529,0.6529,0.562,0.562,0.4723,0.4723,0.3932,0.3932,0.3223,0.3223,0.2572,0.2572,0.0,0.0828,0.0,0.0909,0.0,0.0897,0.0,0.0791,0.0,0.0709,0.0,0.0651,0.0,0.2643,0.2643,0.3471,0.3471,0.438,0.438,0.5277,0.5277,0.6068,0.6068,0.6777,0.6777,0.7428,0.48425,0.3303,0.2547,0.1884,0.3303,0.15395,0.51575,0.3303,0.0,0.6697,0.2547,0.0756,0.6697,0.2547,0.0,0.7453,0.1884,0.0663,0.7453,0.1884,0.0,0.8116,0.1336,0.0548,0.8116,0.48425,0.51575,2,1,3,,False
745844,2024-04-04,oof,4.6377,5.2319,0.2799,0.3296,0.723,0.6412,0.6412,0.5619,0.5619,0.4782,0.4782,0.3995,0.3995,0.329,0.329,0.2673,0.2673,0.0,0.0818,0.0,0.0793,0.0,0.0837,0.0,0.0787,0.0,0.0705,0.0,0.0617,0.0,0.277,0.277,0.3588,0.3588,0.4381,0.4381,0.5218,0.5218,0.6005,0.6005,0.671,0.671,0.7327,0.47821,0.3245,0.2477,0.1832,0.3245,0.15371,0.52179,0.3245,0.0,0.6755,0.2477,0.0768,0.6755,0.2477,0.0,0.7523,0.1832,0.0645,0.7523,0.1832,0.0,0.8168,0.1311,0.0521,0.8168,0.47821,0.52179,3,6,9,,False
