game_pk,game_date,home_expected_runs,away_expected_runs,home_score,away_score
744943,2024-05-11,3.6762,4.565,10,8
745096,2024-05-11,3.8148,4.2603,7,2
745262,2024-05-11,4.0442,5.0753,1,8
745344,2024-05-11,4.3135,4.4243,5,1
745422,2024-05-11,4.3315,4.7568,0,5
745505,2024-05-11,4.1741,4.182,10,9
745828,2024-05-11,3.8121,4.4613,1,4
745994,2024-05-11,4.709,3.3814,5,3
746069,2024-05-11,4.0201,5.6378,3,8
746232,2024-05-11,4.1221,4.3961,9,3
746480,2024-05-11,4.7538,3.7937,8,2
746554,2024-05-11,4.1923,4.4657,8,3
746797,2024-05-11,4.8329,4.2862,3,1
746963,2024-05-11,4.0488,4.5689,4,2
747041,2024-05-11,4.9022,3.554,5,4
744941,2024-05-12,3.9938,4.3282,1,5
745092,2024-05-12,4.2701,4.1966,6,10
745255,2024-05-12,4.4208,4.8244,8,4
745345,2024-05-12,3.8402,4.7701,6,5
745419,2024-05-12,4.2186,4.559,4,0
745499,2024-05-12,4.7517,5.0679,4,5
745825,2024-05-12,4.4935,4.5342,4,3
745990,2024-05-12,4.7471,3.4204,3,4
746068,2024-05-12,3.4448,4.4413,7,6
746234,2024-05-12,4.4038,4.4705,2,4
746476,2024-05-12,4.6931,4.2329,3,9
746555,2024-05-12,4.7181,5.3477,3,1
746798,2024-05-12,4.499,4.7625,0,7
746965,2024-05-12,4.1358,4.3888,3,2
747042,2024-05-12,4.4189,3.8122,2,9
745019,2024-05-13,4.2846,4.6147,0,7
745256,2024-05-13,3.9258,4.6362,6,2
745343,2024-05-13,3.8667,4.7985,4,6
745420,2024-05-13,4.1671,3.7383,4,5
745826,2024-05-13,3.9754,4.8801,4,5
745991,2024-05-13,4.1857,3.4007,6,8
746233,2024-05-13,3.889,4.2129,5,10
746393,2024-05-13,4.4022,4.7433,9,2
746471,2024-05-13,4.8465,3.7581,6,5
746961,2024-05-13,4.0747,4.4637,3,5
747040,2024-05-13,5.3686,3.4023,2,3
747128,2024-05-13,4.2689,3.8867,2,0
747204,2024-05-13,4.686,3.6014,6,5
745014,2024-05-14,4.3505,4.9252,4,7
