hp_umpire_id,hp_umpire_name,season,games_worked,mean_runs_game,trailing_runs_game,called_pitch_n,called_strike_rate
482620,Chris Conroy,2025,34,9.903225806451612,9.6,,
482631,Mike Estabrook,2025,36,8.225806451612904,7.96,,
482641,Adrian Johnson,2025,37,8.911764705882353,8.48,,
482663,David Rackley,2025,34,9.612903225806452,10.44,,
482666,D.J. Reyburn,2025,35,8.59375,9.16,,
483561,Lance Barrett,2025,37,9.0625,8.56,,
483564,Dan Bellino,2025,32,9.862068965517242,9.36,,
483569,Vic Carapazza,2025,36,9.303030303030303,9.6,,
483630,John Tumpane,2025,33,8.166666666666666,8.52,,
483912,Mike Muchlinski,2025,35,9.233333333333333,8.96,,
483919,Mark Ripperger,2025,35,8.0,8.32,,
484183,Cory Blaser,2025,33,7.5,8.04,,
484198,Alan Porter,2025,36,9.727272727272727,8.64,,
484499,Manny Gonzalez,2025,29,9.333333333333334,9.333333333333334,,
485856,Jonathan Parra,2025,14,8.75,8.75,,
486200,David Arrieta,2025,9,9.5,9.5,,
489985,Chad Whitson,2025,20,9.15,9.15,,
490319,Jordan Baker,2025,35,9.34375,9.56,,
503077,Adam Hamari,2025,36,8.181818181818182,7.88,,
503490,Chris Segal,2025,34,8.310344827586206,8.24,,
503493,Sean Barber,2025,35,9.3,8.8,,
503502,Ryan Blakney,2025,34,8.03448275862069,7.64,,
503586,Tripp Gibson,2025,30,9.88888888888889,9.28,,
504381,Will Little,2025,37,8.21875,8.0,,
506460,Tetsuo Yamaji,2025,1,,,,
511890,Quinn Wolcott,2025,36,8.636363636363637,8.48,,
521051,Nick Mahrley,2025,37,8.09375,8.44,,
521251,Ben May,2025,36,9.96774193548387,10.4,,
521889,Stu Scheurwater,2025,33,8.966666666666667,9.28,,
544728,Nic Lentz,2025,37,8.09375,9.08,,
545402,John Bacon,2025,38,8.59375,9.12,,
547380,Carlos Torres,2025,35,8.866666666666667,9.16,,
554242,Edwin Moscoso,2025,37,8.875,8.8,,
573597,Gabe Morales,2025,36,8.242424242424242,7.52,,
573769,Jeremy Riggs,2025,6,,,,
575629,Shane Livensparger,2025,35,8.966666666666667,9.4,,
577468,Roberto Ortiz,2025,34,8.586206896551724,8.84,,
594151,Ramon De Jesus,2025,36,9.387096774193548,9.96,,
596740,Jansen Visconti,2025,35,8.96774193548387,8.88,,
596805,John Libka,2025,35,7.9375,8.04,,
596809,Ryan Additon,2025,32,9.448275862068966,9.28,,
598411,Nestor Ceja,2025,35,8.7,9.04,,
605670,Dan Merzel,2025,32,8.214285714285714,8.36,,
605671,Charlie Ramos,2025,33,8.035714285714286,8.24,,
605672,Jeremie Rehak,2025,33,8.928571428571429,8.88,,
605673,Alex Tosi,2025,36,9.258064516129032,9.24,,
605674,Ryan Wills,2025,34,9.448275862068966,9.72,,
607884,Paul Clemons,2025,34,8.344827586206897,8.92,,
608093,Junior Valentine,2025,28,9.782608695652174,9.782608695652174,,
608158,Nate Tomlinson,2025,32,8.678571428571429,8.56,,
621660,Emil Jimenez,2025,34,8.172413793103448,8.36,,
623938,Erich Bacchus,2025,35,9.5,10.12,,
623945,Alex MacKay,2025,33,8.178571428571429,7.92,,
623946,Malachi Moore,2025,35,9.8,9.4,,
623949,Clint Vondrak,2025,35,10.766666666666667,10.6,,
639723,Brennan Miller,2025,36,7.935483870967742,7.68,,
644760,Adam Beck,2025,38,7.848484848484849,8.16,,
655461,Ray Valero,2025,2,,,,
658082,Jacob Metz,2025,25,7.578947368421052,7.578947368421052,,
658292,Derek Thomas,2025,32,8.44,8.44,,
658325,Tyler Jones,2025,11,10.0,10.0,,
658536,Austin Jones,2025,36,7.689655172413793,7.92,,
664263,Edwin Jimenez,2025,33,8.23076923076923,8.28,,
665278,Ben Phillips,2025,2,,,,
665280,Darius Ghani,2025,7,,,,
665281,Brian Walsh,2025,38,9.59375,10.08,,
665297,Tom Hanahan,2025,36,9.678571428571429,9.48,,
665298,Dexter Kelley,2025,10,8.5,8.5,,
665299,Louie Krupa,2025,7,,,,
665576,Brock Ballou,2025,31,9.916666666666666,9.916666666666666,,
668921,Jen Pawol,2025,13,11.333333333333334,11.333333333333334,,
668924,Kelvis Velez,2025,1,,,,
670565,Trevor Dannegger,2025,1,,,,
670567,Steven Hodgins,2025,3,,,,
670631,Tanner Moore,2025,1,,,,
670688,Mark Stewart Jr.,2025,2,,,,
676578,Thomas Fornarola,2025,1,,,,
676580,Steven Jaschinski,2025,11,9.25,9.25,,
676581,James Jean,2025,31,9.695652173913043,9.695652173913043,,
676582,Evin Johnson,2025,1,,,,
676583,Thomas O'Neil,2025,2,,,,
677388,Pete Talkington,2025,1,,,,
677389,Ty Krauss,2025,2,,,,
681783,Casey James,2025,2,,,,
681791,Bryan Van Vranken,2025,1,,,,
681849,Felix Neon,2025,2,,,,
682874,Trevor Mathews,2025,3,,,,
690896,Sean Sparling,2025,2,,,,
691042,Willie Traynor,2025,22,8.866666666666667,8.866666666666667,,
691047,Kellen Martin,2025,2,,,,
700499,Macon Hammond,2025,6,,,,
703141,Charlie Welling,2025,1,,,,
427013,Lance Barksdale,2026,27,7.833333333333333,7.833333333333333,,
427044,CB Bucknor,2026,7,10.5,10.5,,
427113,Laz Diaz,2026,30,7.8076923076923075,8.0,,
427128,Rob Drake,2026,30,8.32,8.32,,
427129,Bruce Dreckman,2026,28,8.64,8.64,,
427139,Doug Eddings,2026,28,9.08,9.08,,
427164,Andy Fletcher,2026,22,11.052631578947368,11.052631578947368,,
427197,Chris Guccione,2026,30,9.166666666666666,9.166666666666666,,
427243,Marvin Hudson,2026,25,5.95,5.95,,
427248,Dan Iassogna,2026,28,10.423076923076923,10.72,,
427292,Ron Kulpa,2026,23,9.666666666666666,9.666666666666666,,
427315,Alfonso Márquez,2026,30,10.24,10.24,,
427344,Bill Miller,2026,30,9.384615384615385,9.48,,
427366,Brian O'Nora,2026,20,8.933333333333334,8.933333333333334,,
427533,Mark Wegner,2026,29,9.653846153846153,9.4,,
427537,Hunter Wendelstedt,2026,30,9.0,9.24,,
427554,Jim Wolf,2026,27,9.08695652173913,9.08695652173913,,
428442,James Hoye,2026,27,9.791666666666666,9.791666666666666,,
429805,Todd Tichenor,2026,27,8.24,8.24,,
431232,Chad Fairchild,2026,28,9.24,9.24,,
482608,Scott Barry,2026,26,8.695652173913043,8.695652173913043,,
482620,Chris Conroy,2026,26,9.130434782608695,9.130434782608695,,
482631,Mike Estabrook,2026,31,8.576923076923077,8.8,,
482641,Adrian Johnson,2026,21,11.157894736842104,11.157894736842104,,
482663,David Rackley,2026,23,9.090909090909092,9.090909090909092,,
482666,D.J. Reyburn,2026,26,8.652173913043478,8.652173913043478,,
483561,Lance Barrett,2026,30,9.518518518518519,9.68,,
483564,Dan Bellino,2026,29,8.346153846153847,8.52,,
483569,Vic Carapazza,2026,30,9.785714285714286,9.88,,
483630,John Tumpane,2026,28,7.76,7.76,,
483912,Mike Muchlinski,2026,31,9.0,9.04,,
483919,Mark Ripperger,2026,29,8.884615384615385,8.96,,
484183,Cory Blaser,2026,26,8.08695652173913,8.08695652173913,,
484198,Alan Porter,2026,30,9.708333333333334,9.708333333333334,,
484499,Manny Gonzalez,2026,27,8.25,8.25,,
485856,Jonathan Parra,2026,20,9.071428571428571,9.071428571428571,,
489985,Chad Whitson,2026,28,8.08695652173913,8.08695652173913,,
490319,Jordan Baker,2026,25,7.75,7.75,,
503077,Adam Hamari,2026,31,9.535714285714286,9.64,,
503490,Chris Segal,2026,27,8.458333333333334,8.458333333333334,,
503493,Sean Barber,2026,26,9.91304347826087,9.91304347826087,,
503502,Ryan Blakney,2026,25,8.6,8.6,,
503586,Tripp Gibson,2026,27,8.6,8.6,,
504381,Will Little,2026,30,9.038461538461538,9.16,,
511890,Quinn Wolcott,2026,29,8.185185185185185,8.4,,
521051,Nick Mahrley,2026,27,9.318181818181818,9.318181818181818,,
521251,Ben May,2026,28,10.826086956521738,10.826086956521738,,
521889,Stu Scheurwater,2026,28,7.92,7.92,,
544728,Nic Lentz,2026,32,7.962962962962963,7.6,,
545402,John Bacon,2026,21,10.285714285714286,10.285714285714286,,
547380,Carlos Torres,2026,27,7.956521739130435,7.956521739130435,,
554242,Edwin Moscoso,2026,30,7.16,7.16,,
573597,Gabe Morales,2026,27,7.416666666666667,7.416666666666667,,
575629,Shane Livensparger,2026,26,8.478260869565217,8.478260869565217,,
577468,Roberto Ortiz,2026,26,8.608695652173912,8.608695652173912,,
594151,Ramon De Jesus,2026,26,8.409090909090908,8.409090909090908,,
596740,Jansen Visconti,2026,28,8.565217391304348,8.565217391304348,,
596805,John Libka,2026,27,7.739130434782608,7.739130434782608,,
596809,Ryan Additon,2026,26,9.32,9.32,,
598411,Nestor Ceja,2026,31,8.25925925925926,7.84,,
605670,Dan Merzel,2026,28,9.916666666666666,9.916666666666666,,
605671,Charlie Ramos,2026,24,7.578947368421052,7.578947368421052,,
605672,Jeremie Rehak,2026,22,10.31578947368421,10.31578947368421,,
605673,Alex Tosi,2026,29,8.73076923076923,8.92,,
605674,Ryan Wills,2026,30,7.6,7.6,,
607884,Paul Clemons,2026,29,7.96,7.96,,
