game_pk,game_date,kind,home_expected_runs,away_expected_runs,alpha_home,alpha_away,p_over_6_5,p_over_7_0,p_over_7_5,p_over_8_0,p_over_8_5,p_over_9_0,p_over_9_5,p_over_10_0,p_over_10_5,p_over_11_0,p_over_11_5,p_over_12_0,p_over_12_5,p_push_6_5,p_push_7_0,p_push_7_5,p_push_8_0,p_push_8_5,p_push_9_0,p_push_9_5,p_push_10_0,p_push_10_5,p_push_11_0,p_push_11_5,p_push_12_0,p_push_12_5,p_under_6_5,p_under_7_0,p_under_7_5,p_under_8_0,p_under_8_5,p_under_9_0,p_under_9_5,p_under_10_0,p_under_10_5,p_under_11_0,p_under_11_5,p_under_12_0,p_under_12_5,p_home_cover_0_5,p_home_cover_1_5,p_home_cover_2_5,p_home_cover_3_5,p_rl_1_0_home,p_rl_1_0_push,p_rl_1_0_away,p_rl_1_5_home,p_rl_1_5_push,p_rl_1_5_away,p_rl_2_0_home,p_rl_2_0_push,p_rl_2_0_away,p_rl_2_5_home,p_rl_2_5_push,p_rl_2_5_away,p_rl_3_0_home,p_rl_3_0_push,p_rl_3_0_away,p_rl_3_5_home,p_rl_3_5_push,p_rl_3_5_away,p_rl_4_0_home,p_rl_4_0_push,p_rl_4_0_away,p_rl_1_0_away_favorite,p_rl_1_0_away_push,p_rl_1_0_home_dog,p_rl_1_5_away_favorite,p_rl_1_5_away_push,p_rl_1_5_home_dog,p_rl_2_0_away_favorite,p_rl_2_0_away_push,p_rl_2_0_home_dog,p_rl_2_5_away_favorite,p_rl_2_5_away_push,p_rl_2_5_home_dog,p_rl_3_0_away_favorite,p_rl_3_0_away_push,p_rl_3_0_home_dog,p_rl_3_5_away_favorite,p_rl_3_5_away_push,p_rl_3_5_home_dog,p_rl_4_0_away_favorite,p_rl_4_0_away_push,p_rl_4_0_home_dog,game_id,home_team,away_team,p_home_win_derived,p_away_win_derived,home_score,away_score,total_runs,ml_win_prob,agreement_conflict
744949,2024-04-26,oof,4.1537,4.8191,0.2983,0.3013,0.671,0.5768,0.5768,0.485,0.485,0.4013,0.4013,0.3283,0.3283,0.2645,0.2645,0.2063,0.2063,0.0,0.0942,0.0,0.0918,0.0,0.0837,0.0,0.073,0.0,0.0638,0.0,0.0582,0.0,0.329,0.329,0.4232,0.4232,0.515,0.515,0.5987,0.5987,0.6717,0.6717,0.7355,0.7355,0.7937,0.46812,0.3047,0.2277,0.1624,0.3047,0.16342,0.53188,0.3047,0.0,0.6953,0.2277,0.077,0.6953,0.2277,0.0,0.7723,0.1624,0.0653,0.7723,0.1624,0.0,0.8376,0.1154,0.047,0.8376,0.4022,0.1037,0.4941,0.4022,0.0,0.5978,0.3119,0.0903,0.5978,0.3119,0.0,0.6881,0.2351,0.0768,0.6881,0.2351,0.0,0.7649,0.1727,0.0624,0.7649,20240426_LAD@TOR,TOR,LAD,0.46812,0.53188,2,12,14,0.4754853958278344,False
745025,2024-04-26,oof,4.0651,4.341,0.3072,0.3241,0.6254,0.5316,0.5316,0.4429,0.4429,0.3568,0.3568,0.2874,0.2874,0.2254,0.2254,0.1733,0.1733,0.0,0.0938,0.0,0.0887,0.0,0.0861,0.0,0.0694,0.0,0.062,0.0,0.0521,0.0,0.3746,0.3746,0.4684,0.4684,0.5571,0.5571,0.6432,0.6432,0.7126,0.7126,0.7746,0.7746,0.8267,0.51551,0.3314,0.2491,0.1843,0.3314,0.18411,0.48449,0.3314,0.0,0.6686,0.2491,0.0823,0.6686,0.2491,0.0,0.7509,0.1843,0.0648,0.7509,0.1843,0.0,0.8157,0.1252,0.0591,0.8157,0.3547,0.1025,0.5428,0.3547,0.0,0.6453,0.2691,0.0856,0.6453,0.2691,0.0,0.7309,0.1972,0.0719,0.7309,0.1972,0.0,0.8028,0.1435,0.0537,0.8028,20240426_CIN@TEX,TEX,CIN,0.51551,0.48449,2,1,3,0.5071765202465449,False
745269,2024-04-26,oof,4.4351,4.3864,0.2698,0.3219,0.6622,0.5617,0.5617,0.4708,0.4708,0.3888,0.3888,0.3118,0.3118,0.2451,0.2451,0.1906,0.1906,0.0,0.1005,0.0,0.0909,0.0,0.082,0.0,0.077,0.0,0.0667,0.0,0.0545,0.0,0.3378,0.3378,0.4383,0.4383,0.5292,0.5292,0.6112,0.6112,0.6882,0.6882,0.7549,0.7549,0.8094,0.5291,0.3544,0.2698,0.2,0.3544,0.1747,0.4709,0.3544,0.0,0.6456,0.2698,0.0846,0.6456,0.2698,0.0,0.7302,0.2,0.0698,0.7302,0.2,0.0,0.8,0.1442,0.0558,0.8,0.3436,0.1015,0.5549,0.3436,0.0,0.6564,0.2572,0.0864,0.6564,0.2572,0.0,0.7428,0.1931,0.0641,0.7428,0.1931,0.0,0.8069,0.1432,0.0499,0.8069,20240426_AZ@SEA,SEA,AZ,0.5291,0.4709,6,1,7,0.5009351463714207,False
745347,2024-04-26,oof,3.9893,4.8226,0.3149,0.3012,0.6651,0.5723,0.5723,0.484,0.484,0.3957,0.3957,0.3215,0.3215,0.2567,0.2567,0.2017,0.2017,0.0,0.0928,0.0,0.0883,0.0,0.0883,0.0,0.0742,0.0,0.0648,0.0,0.055,0.0,0.3349,0.3349,0.4277,0.4277,0.516,0.516,0.6043,0.6043,0.6785,0.6785,0.7433,0.7433,0.7983,0.45453,0.2869,0.2103,0.1537,0.2869,0.16763,0.54547,0.2869,0.0,0.7131,0.2103,0.0766,0.7131,0.2103,0.0,0.7897,0.1537,0.0566,0.7897,0.1537,0.0,0.8463,0.1068,0.0469,0.8463,0.4206,0.0996,0.4798,0.4206,0.0,0.5794,0.3326,0.088,0.5794,0.3326,0.0,0.6674,0.2514,0.0812,0.6674,0.2514,0.0,0.7486,0.1912,0.0602,0.7486,20240426_PIT@SF,SF,PIT,0.45453,0.54547,3,0,3,0.5076600085288531,False
745424,2024-04-26,oof,4.4091,4.3364,0.2724,0.3243,0.6561,0.5594,0.5594,0.4668,0.4668,0.3816,0.3816,0.3042,0.3042,0.2457,0.2457,0.1924,0.1924,0.0,0.0967,0.0,0.0926,0.0,0.0852,0.0,0.0774,0.0,0.0585,0.0,0.0533,0.0,0.3439,0.3439,0.4406,0.4406,0.5332,0.5332,0.6184,0.6184,0.6958,0.6958,0.7543,0.7543,0.8076,0.53095,0.3573,0.2768,0.2006,0.3573,0.17365,0.46905,0.3573,0.0,0.6427,0.2768,0.0805,0.6427,0.2768,0.0,0.7232,0.2006,0.0762,0.7232,0.2006,0.0,0.7994,0.1439,0.0567,0.7994,0.3442,0.0982,0.5576,0.3442,0.0,0.6558,0.2582,0.086,0.6558,0.2582,0.0,0.7418,0.189,0.0692,0.7418,0.189,0.0,0.811,0.1338,0.0552,0.811,20240426_PHI@SD,SD,PHI,0.53095,0.46905,3,9,12,0.5088140669352016,False
745835,2024-04-26,oof,3.981,4.4566,0.3158,0.3186,0.6211,0.5236,0.5236,0.4335,0.4335,0.3518,0.3518,0.2752,0.2752,0.2158,0.2158,0.1664,0.1664,0.0,0.0975,0.0,0.0901,0.0,0.0817,0.0,0.0766,0.0,0.0594,0.0,0.0494,0.0,0.3789,0.3789,0.4764,0.4764,0.5665,0.5665,0.6482,0.6482,0.7248,0.7248,0.7842,0.7842,0.8336,0.49258,0.3144,0.2296,0.1653,0.3144,0.17818,0.50742,0.3144,0.0,0.6856,0.2296,0.0848,0.6856,0.2296,0.0,0.7704,0.1653,0.0643,0.7704,0.1653,0.0,0.8347,0.1145,0.0508,0.8347,0.3829,0.0968,0.5203,0.3829,0.0,0.6171,0.2925,0.0904,0.6171,0.2925,0.0,0.7075,0.2185,0.074,0.7075,0.2185,0.0,0.7815,0.1573,0.0612,0.7815,20240426_STL@NYM,NYM,STL,0.49258,0.50742,2,4,6,0.5226610565995572,False
746000,2024-04-26,oof,3.8786,4.3203,0.3261,0.3251,0.6067,0.5125,0.5125,0.4141,0.4141,0.3346,0.3346,0.2697,0.2697,0.212,0.212,0.1599,0.1599,0.0,0.0942,0.0,0.0984,0.0,0.0795,0.0,0.0649,0.0,0.0577,0.0,0.0521,0.0,0.3933,0.3933,0.4875,0.4875,0.5859,0.5859,0.6654,0.6654,0.7303,0.7303,0.788,0.788,0.8401,0.49102,0.316,0.2334,0.1657,0.316,0.17502,0.50898,0.316,0.0,0.684,0.2334,0.0826,0.684,0.2334,0.0,0.7666,0.1657,0.0677,0.7666,0.1657,0.0,0.8343,0.1153,0.0504,0.8343,0.3789,0.103,0.5181,0.3789,0.0,0.6211,0.2877,0.0912,0.6211,0.2877,0.0,0.7123,0.2142,0.0735,0.7123,0.2142,0.0,0.7858,0.1545,0.0597,0.7858,20240426_NYY@MIL,MIL,NYY,0.49102,0.50898,7,6,13,0.4984235509252443,False
746078,2024-04-26,oof,3.4634,4.5102,0.3681,0.316,0.5903,0.491,0.491,0.4044,0.4044,0.3261,0.3261,0.2542,0.2542,0.1961,0.1961,0.1509,0.1509,0.0,0.0993,0.0,0.0866,0.0,0.0783,0.0,0.0719,0.0,0.0581,0.0,0.0452,0.0,0.4097,0.4097,0.509,0.509,0.5956,0.5956,0.6739,0.6739,0.7458,0.7458,0.8039,0.8039,0.8491,0.4317,0.2604,0.1839,0.1264,0.2604,0.1713,0.5683,0.2604,0.0,0.7396,0.1839,0.0765,0.7396,0.1839,0.0,0.8161,0.1264,0.0575,0.8161,0.1264,0.0,0.8736,0.0877,0.0387,0.8736,0.4315,0.1101,0.4584,0.4315,0.0,0.5685,0.337,0.0945,0.5685,0.337,0.0,0.663,0.2529,0.0841,0.663,0.2529,0.0,0.7471,0.1858,0.0671,0.7471,20240426_WSH@MIA,MIA,WSH,0.4317,0.5683,1,3,4,0.4707488499210341,False
746243,2024-04-26,oof,4.4335,4.1054,0.27,0.3353,0.6402,0.5436,0.5436,0.449,0.449,0.3683,0.3683,0.293,0.293,0.2285,0.2285,0.1741,0.1741,0.0,0.0966,0.0,0.0946,0.0,0.0807,0.0,0.0753,0.0,0.0645,0.0,0.0544,0.0,0.3598,0.3598,0.4564,0.4564,0.551,0.551,0.6317,0.6317,0.707,0.707,0.7715,0.7715,0.8259,0.55875,0.3733,0.2797,0.206,0.3733,0.18545,0.44125,0.3733,0.0,0.6267,0.2797,0.0936,0.6267,0.2797,0.0,0.7203,0.206,0.0737,0.7203,0.206,0.0,0.794,0.15,0.056,0.794,0.3163,0.0961,0.5876,0.3163,0.0,0.6837,0.2357,0.0806,0.6837,0.2357,0.0,0.7643,0.1725,0.0632,0.7643,0.1725,0.0,0.8275,0.125,0.0475,0.8275,20240426_MIN@LAA,LAA,MIN,0.55875,0.44125,3,5,8,0.5177014094198817,False
746482,2024-04-26,oof,4.0348,4.6114,0.3103,0.3112,0.651,0.5548,0.5548,0.4623,0.4623,0.3829,0.3829,0.3098,0.3098,0.2446,0.2446,0.187,0.187,0.0,0.0962,0.0,0.0925,0.0,0.0794,0.0,0.0731,0.0,0.0652,0.0,0.0576,0.0,0.349,0.349,0.4452,0.4452,0.5377,0.5377,0.6171,0.6171,0.6902,0.6902,0.7554,0.7554,0.813,0.48108,0.3094,0.2288,0.1621,0.3094,0.17168,0.51892,0.3094,0.0,0.6906,0.2288,0.0806,0.6906,0.2288,0.0,0.7712,0.1621,0.0667,0.7712,0.1621,0.0,0.8379,0.1123,0.0498,0.8379,0.399,0.0933,0.5077,0.399,0.0,0.601,0.3059,0.0931,0.601,0.3059,0.0,0.6941,0.2326,0.0733,0.6941,0.2326,0.0,0.7674,0.1725,0.0601,0.7674,20240426_KC@DET,DET,KC,0.48108,0.51892,0,8,8,0.4646813409430054,False
746808,2024-04-26,oof,3.5935,4.2023,0.355,0.3307,0.5653,0.4655,0.4655,0.3752,0.3752,0.3001,0.3001,0.2357,0.2357,0.1787,0.1787,0.1365,0.1365,0.0,0.0998,0.0,0.0903,0.0,0.0751,0.0,0.0644,0.0,0.057,0.0,0.0422,0.0,0.4347,0.4347,0.5345,0.5345,0.6248,0.6248,0.6999,0.6999,0.7643,0.7643,0.8213,0.8213,0.8635,0.4623,0.2847,0.2033,0.1427,0.2847,0.1776,0.5377,0.2847,0.0,0.7153,0.2033,0.0814,0.7153,0.2033,0.0,0.7967,0.1427,0.0606,0.7967,0.1427,0.0,0.8573,0.0978,0.0449,0.8573,0.3986,0.1115,0.4899,0.3986,0.0,0.6014,0.2998,0.0988,0.6014,0.2998,0.0,0.7002,0.2215,0.0783,0.7002,0.2215,0.0,0.7785,0.1595,0.062,0.7785,20240426_TB@CWS,CWS,TB,0.4623,0.5377,9,4,13,0.4764151814677515,False
746972,2024-04-26,oof,4.4749,3.9883,0.2658,0.3409,0.6276,0.5315,0.5315,0.4381,0.4381,0.3539,0.3539,0.2855,0.2855,0.2205,0.2205,0.1718,0.1718,0.0,0.0961,0.0,0.0934,0.0,0.0842,0.0,0.0684,0.0,0.065,0.0,0.0487,0.0,0.3724,0.3724,0.4685,0.4685,0.5619,0.5619,0.6461,0.6461,0.7145,0.7145,0.7795,0.7795,0.8282,0.57024,0.3872,0.2976,0.2208,0.3872,0.18304,0.42976,0.3872,0.0,0.6128,0.2976,0.0896,0.6128,0.2976,0.0,0.7024,0.2208,0.0768,0.7024,0.2208,0.0,0.7792,0.1584,0.0624,0.7792,0.3063,0.0963,0.5974,0.3063,0.0,0.6937,0.2264,0.0799,0.6937,0.2264,0.0,0.7736,0.1594,0.067,0.7736,0.1594,0.0,0.8406,0.1135,0.0459,0.8406,20240426_CHC@BOS,BOS,CHC,0.57024,0.42976,1,7,8,0.4975150959860113,False
747050,2024-04-26,oof,4.5686,3.7183,0.2563,0.3538,0.6101,0.5124,0.5124,0.4181,0.4181,0.3335,0.3335,0.261,0.261,0.2046,0.2046,0.1588,0.1588,0.0,0.0977,0.0,0.0943,0.0,0.0846,0.0,0.0725,0.0,0.0564,0.0,0.0458,0.0,0.3899,0.3899,0.4876,0.4876,0.5819,0.5819,0.6665,0.6665,0.739,0.739,0.7954,0.7954,0.8412,0.61279,0.4273,0.3308,0.2462,0.4273,0.18549,0.38721,0.4273,0.0,0.5727,0.3308,0.0965,0.5727,0.3308,0.0,0.6692,0.2462,0.0846,0.6692,0.2462,0.0,0.7538,0.1779,0.0683,0.7538,0.267,0.0933,0.6397,0.267,0.0,0.733,0.1896,0.0774,0.733,0.1896,0.0,0.8104,0.1362,0.0534,0.8104,0.1362,0.0,0.8638,0.0955,0.0407,0.8638,20240426_ATH@BAL,BAL,ATH,0.61279,0.38721,2,3,5,0.5407691713135893,False
747129,2024-04-26,oof,4.6855,4.9177,0.2445,0.2966,0.7241,0.6296,0.6296,0.5418,0.5418,0.4511,0.4511,0.3735,0.3735,0.2978,0.2978,0.237,0.237,0.0,0.0945,0.0,0.0878,0.0,0.0907,0.0,0.0776,0.0,0.0757,0.0,0.0608,0.0,0.2759,0.2759,0.3704,0.3704,0.4582,0.4582,0.5489,0.5489,0.6265,0.6265,0.7022,0.7022,0.763,0.51615,0.3516,0.272,0.1977,0.3516,0.16455,0.48385,0.3516,0.0,0.6484,0.272,0.0796,0.6484,0.272,0.0,0.728,0.1977,0.0743,0.728,0.1977,0.0,0.8023,0.1432,0.0545,0.8023,0.3678,0.0925,0.5397,0.3678,0.0,0.6322,0.2889,0.0789,0.6322,0.2889,0.0,0.7111,0.2166,0.0723,0.7111,0.2166,0.0,0.7834,0.1633,0.0533,0.7834,20240426_CLE@ATL,ATL,CLE,0.51615,0.48385,6,2,8,0.5105792104208714,False
