game_pk,innings,home_score,away_score
777851,9,2,0
777819,9,4,8
777823,9,5,9
777824,9,3,1
777826,11,4,8
777827,9,1,5
777828,9,5,10
777829,9,1,5
777830,9,5,6
777831,9,1,5
777832,9,8,4
777833,9,1,2
777834,9,3,1
777835,9,4,3
777837,9,14,0
777812,9,5,10
777814,9,5,8
777816,11,7,6
777817,9,0,2
777818,9,1,0
777820,10,8,7
777821,9,0,7
777822,9,9,2
777797,9,4,3
777798,9,7,4
777799,9,3,1
777800,9,3,5
777801,9,0,4
777802,9,3,2
777804,9,3,4
777805,9,4,1
777806,10,6,5
777807,9,1,3
777808,13,5,7
777810,9,3,1
777811,9,6,13
777813,9,1,2
777815,9,19,5
777781,9,2,6
777782,9,1,13
777784,11,6,9
777786,9,6,5
777787,9,2,1
777788,9,5,4
777789,9,5,2
777790,9,1,2
777791,9,6,4
777792,9,10,5
777793,9,3,0
777794,9,2,1
777795,9,3,1
777796,10,5,7
777803,9,7,1
777809,10,6,5
777765,9,5,4
777766,9,4,3
777767,9,0,3
777768,9,4,5
777772,10,1,2
777773,9,3,1
777774,9,5,3
777775,9,13,0
777776,9,5,6
777777,9,4,5
777778,9,2,3
777779,9,8,11
777780,9,5,0
777783,9,3,5
777785,9,1,5
777756,11,4,3
777757,9,3,1
777758,9,2,1
777759,9,1,2
777760,9,4,7
777761,9,5,0
777762,9,7,2
777763,9,1,5
777764,9,3,2
777769,9,2,7
777770,9,3,1
777771,9,5,2
777741,9,2,0
777742,9,8,6
777743,9,9,1
777744,9,6,9
777745,9,2,3
777746,9,2,4
777747,10,5,1
777748,9,2,0
777749,9,6,4
777750,9,2,7
777751,11,4,3
777752,9,11,1
777753,9,5,9
777754,9,4,7
777755,9,3,1
777724,9,0,2
777726,9,8,10
777728,9,0,1
777729,9,1,10
777730,9,0,9
777731,9,2,1
777732,9,5,0
777733,9,3,2
777734,9,5,3
777736,10,6,5
777737,9,4,9
777738,9,4,3
777739,9,7,4
777740,9,4,6
777722,10,3,9
777723,9,3,9
777725,9,3,13
777727,9,12,0
777735,9,5,4
777707,9,3,2
777708,9,8,5
777709,9,11,1
777710,9,7,9
777711,9,5,7
777712,9,2,6
777713,10,6,12
777714,9,2,1
777715,9,2,6
777716,9,11,7
777717,9,0,2
777718,9,4,2
777719,9,1,5
777720,9,2,1
777721,9,1,4
777691,9,0,5
777693,9,3,16
777694,9,1,0
777695,11,5,4
777696,9,7,11
777697,9,0,2
777698,9,18,2
777699,9,4,2
777700,9,8,2
777701,9,8,7
777702,9,7,17
777703,9,7,5
777704,9,2,0
777705,9,1,0
777706,9,5,0
777677,9,0,1
777678,9,8,1
777679,9,3,1
777680,9,2,1
777681,9,6,4
777682,9,3,7
777683,9,4,2
777684,9,3,2
777685,9,8,4
777686,9,5,3
777687,9,7,3
777688,9,2,5
777689,9,2,4
777690,9,1,0
777692,9,1,3
777669,9,4,10
777670,9,6,7
777671,9,2,3
777673,9,4,6
777674,9,1,13
777675,10,3,4
777676,10,0,1
777655,9,1,5
777656,10,2,3
777657,10,6,5
777658,9,3,10
777659,9,3,8
777660,9,7,10
777661,9,8,1
777662,9,5,1
777663,9,0,3
777664,9,3,2
777665,9,3,8
777666,9,2,3
777667,10,3,4
777668,9,4,2
777672,9,3,8
777638,9,1,6
777639,9,4,5
777641,9,6,5
777643,9,1,6
777645,9,2,3
777646,9,5,4
777647,9,1,9
777648,9,3,0
777649,9,11,9
777650,9,2,0
777651,9,2,1
777652,9,2,3
777653,9,0,4
777654,9,1,2
777628,9,3,4
777629,9,4,3
777630,9,2,8
777631,9,6,5
777632,9,1,7
777633,9,3,2
777634,10,3,2
777635,9,5,7
777636,9,14,3
777637,9,9,1
777640,9,10,11
777642,10,6,5
777644,9,4,0
777613,9,5,4
777614,9,5,4
777615,9,4,6
777616,9,2,4
777617,9,0,2
777618,9,7,2
777619,10,5,4
777620,9,5,0
777621,9,5,4
777622,9,2,4
777623,10,4,3
777624,9,2,0
777625,9,4,3
777626,9,3,1
777627,9,9,6
777597,9,4,3
777598,9,3,2
777599,9,4,7
777600,9,4,5
777601,9,2,1
777603,9,8,6
777604,9,1,8
777605,9,7,10
777606,9,4,1
777607,9,2,1
777608,10,3,5
777609,9,1,6
777610,9,0,5
777611,10,10,11
777612,9,13,1
777582,9,3,7
777583,9,5,13
777585,9,6,3
777586,9,0,1
777587,9,4,3
777588,9,5,1
777589,9,2,3
777590,9,5,7
777591,9,4,2
777592,9,3,2
777593,9,7,11
777594,9,4,0
777595,9,2,1
777596,9,2,4
777602,9,4,2
777574,9,10,3
777575,9,1,7
777576,9,7,4
777577,11,8,4
777578,11,4,3
777579,10,7,8
777580,9,4,7
777581,10,4,5
777584,11,8,10
777557,9,4,16
777558,9,9,10
777559,9,10,3
777560,9,11,1
777563,9,5,6
777564,10,2,1
777565,9,3,1
777566,9,2,3
777567,9,2,4
777568,9,4,1
777569,9,0,1
777570,10,5,4
777571,9,4,8
777572,9,2,10
777573,9,3,5
777542,9,6,5
777543,9,2,5
777545,9,2,5
777547,9,7,10
777548,9,5,2
777549,9,11,2
777550,9,10,2
777551,9,3,6
777552,9,5,2
777553,9,7,2
777554,9,2,6
777555,9,5,0
777556,9,6,2
777561,9,4,3
777562,9,10,1
777532,9,6,0
777533,9,3,16
777534,9,8,7
777536,9,0,1
777540,9,1,4
777541,9,3,2
777544,9,4,3
777546,9,4,3
777520,9,7,2
777521,9,5,1
777522,9,2,6
777524,9,3,1
777525,9,3,2
777526,10,1,2
777527,9,10,3
777528,9,5,7
777529,9,4,6
777530,9,9,11
777531,9,8,0
777535,9,12,4
777537,10,2,1
777538,9,11,5
777539,9,2,0
777506,9,11,5
777507,9,4,3
777508,11,5,4
777509,9,3,2
777510,9,3,2
777511,9,0,4
777512,9,5,8
777513,9,2,1
777514,9,3,4
777515,9,8,7
777516,9,4,3
777517,9,1,11
777518,9,4,8
777519,9,6,5
777523,9,4,1
777491,9,2,8
777492,9,3,2
777493,9,2,1
777494,10,2,1
777495,9,6,0
777496,9,2,3
777497,10,3,2
777498,9,5,4
777499,9,11,4
777500,9,2,0
777501,9,11,2
777502,9,0,9
777503,9,1,3
777504,9,1,10
777505,9,4,8
777483,9,2,5
777484,9,7,1
777485,9,3,1
777486,9,0,2
777487,11,0,1
777488,9,4,6
777490,9,6,3
777467,9,2,12
777468,9,1,6
777469,9,3,13
777471,9,8,6
777472,9,2,3
777473,9,8,0
777475,9,7,3
777476,9,0,4
777477,9,1,5
777478,9,6,5
777479,9,5,4
777480,9,6,10
777481,9,8,3
777482,9,5,3
777489,10,5,4
777453,9,1,3
777454,9,2,4
777456,9,4,11
777457,9,4,3
777460,9,3,6
777461,9,1,3
777462,9,8,1
777463,9,12,8
777465,9,2,4
777466,9,2,3
777470,9,5,0
777474,6,4,2
777440,9,2,1
777441,10,6,4
777442,9,3,5
777443,9,1,4
777444,9,1,2
777445,11,4,3
777446,9,1,4
777447,9,4,5
777448,9,5,9
777449,9,7,3
777450,9,7,8
777451,9,9,2
777452,9,5,12
777455,9,7,1
777458,10,6,8
777464,10,4,8
777425,9,5,7
777426,9,5,6
777427,9,6,5
777428,10,2,3
777429,9,5,1
777430,9,8,14
777431,9,14,8
777432,9,2,6
777433,9,6,1
777434,9,6,17
777435,9,1,7
777436,9,4,9
777437,9,10,2
777438,9,3,5
777439,9,6,2
777410,9,3,5
777411,9,2,4
777412,9,0,9
777413,9,5,1
777414,9,9,1
777415,11,6,5
777416,9,3,7
777417,9,3,2
777418,9,7,1
777419,9,10,7
777420,9,8,3
777421,9,2,3
777422,9,9,0
777423,9,4,11
777424,9,0,7
777395,9,9,5
777396,9,3,2
777397,9,7,8
777398,9,13,7
777399,9,4,2
777400,9,0,3
777401,9,8,9
777402,9,5,3
777403,9,6,14
777404,9,8,3
777405,9,7,1
777406,9,4,2
777407,9,1,4
777408,9,2,4
777409,9,3,9
777381,9,9,5
777382,9,6,10
777388,9,2,11
777389,9,2,3
777390,9,6,1
777391,9,4,5
777392,9,8,2
777393,9,0,10
777394,9,6,0
777364,9,2,4
777372,9,4,3
777373,9,8,7
777374,9,9,3
777375,9,5,6
777376,10,3,2
777377,9,1,0
777378,9,1,5
777379,9,7,9
777380,10,5,6
777383,9,1,4
777384,9,6,10
777385,11,5,4
777386,9,11,4
777387,9,4,7
777355,10,5,8
777357,9,0,8
777358,9,1,8
777359,9,0,3
777360,9,1,0
777361,9,4,2
777362,9,5,2
777363,9,2,0
777365,9,0,7
777366,9,2,0
777367,9,1,7
777368,10,5,4
777369,9,7,3
777370,9,7,3
777371,9,0,3
777344,9,1,3
777347,9,5,12
777348,9,0,3
777350,9,2,1
777351,9,8,0
777352,9,4,0
777353,9,0,4
777354,9,0,6
777356,9,10,1
777331,9,9,15
777332,9,8,9
777334,9,1,4
777335,9,4,5
777336,9,7,4
777337,9,3,0
777338,9,1,3
777339,9,10,6
777340,12,6,7
777341,9,9,1
777342,9,0,13
777343,9,22,8
777345,9,0,9
777346,9,8,1
777349,9,0,5
777315,9,8,2
777318,10,7,8
777319,9,9,5
777320,9,3,12
777321,9,5,0
777322,10,3,2
777323,9,15,1
777324,9,10,5
777325,9,9,2
777326,9,0,7
777327,9,1,0
777328,9,4,6
777329,9,6,9
777330,9,3,11
777333,9,6,1
777301,11,3,4
777302,12,4,6
777303,9,4,6
777304,9,1,5
777305,11,4,7
777307,9,12,5
777308,9,2,0
777309,9,0,7
777310,9,3,5
777311,9,5,2
777312,9,3,2
777313,9,12,1
777314,9,3,0
777316,9,1,2
777317,9,5,1
777291,9,4,2
777292,11,6,10
777295,9,5,4
777296,9,4,6
777297,9,6,2
777299,9,7,0
777300,9,13,6
777306,9,4,0
777278,9,8,2
777280,9,6,1
777281,9,3,6
777282,9,10,2
777283,9,12,5
777285,9,5,6
777286,10,3,4
777287,9,5,2
777288,9,1,0
777293,9,2,0
777294,9,5,3
777298,9,0,4
777262,9,3,2
777265,9,9,4
777266,9,5,4
777267,9,5,4
777268,9,6,0
777269,9,3,5
777270,10,5,6
777271,9,6,5
777272,9,5,0
777273,9,4,6
777274,9,11,9
777275,9,1,2
777276,9,7,3
777277,9,4,8
777279,9,8,3
777284,9,2,11
777289,9,2,7
777290,9,5,1
777251,9,2,3
777253,9,6,2
777256,9,2,7
777257,9,3,2
777258,9,11,7
777259,10,1,0
777260,9,8,5
777261,9,1,5
777263,9,4,1
777264,9,7,6
777235,9,1,18
777236,9,6,0
777239,10,3,2
777242,10,4,3
777243,9,2,3
777244,9,11,2
777245,9,2,11
777246,9,11,3
777247,9,4,3
777248,9,3,9
777249,9,1,2
777250,9,6,5
777252,9,2,3
777254,9,5,6
777255,9,6,9
777221,9,4,6
777223,9,4,7
777225,9,1,0
777227,9,2,7
777228,9,3,10
777229,9,6,8
777230,9,6,5
777231,11,4,3
777232,9,3,10
777233,9,5,1
777234,9,7,1
777237,10,6,9
777238,9,4,2
777240,9,0,1
777241,9,12,6
777205,9,1,0
777206,9,1,5
777207,9,4,1
777210,9,2,6
777213,9,4,6
777214,9,3,2
777215,9,6,4
777216,9,4,6
777217,9,3,1
777218,9,0,4
777219,9,11,0
777220,10,5,7
777222,9,1,2
777224,9,1,3
777226,10,2,7
777199,9,3,1
777200,9,6,5
777201,9,9,1
777202,9,5,7
777203,9,3,6
777204,9,9,3
777208,9,1,5
777209,9,9,3
777211,9,5,1
777212,9,4,8
777180,9,1,13
777185,9,1,0
777186,9,4,3
777187,9,10,3
777188,7,1,6
777189,9,10,1
777190,9,8,1
777191,9,4,2
777192,10,6,10
777193,9,3,1
777194,9,4,3
777195,9,4,2
777196,9,10,2
777197,9,2,12
777198,10,6,7
777162,9,2,8
777163,9,0,13
777171,9,11,8
777172,9,2,1
777173,9,4,2
777174,9,2,4
777175,10,3,2
777176,9,2,9
777177,9,4,3
777178,9,2,8
777179,9,10,2
777182,9,3,7
777183,9,7,2
777184,9,9,6
777156,11,5,4
777158,9,4,3
777159,9,4,11
777165,9,3,1
777166,9,1,8
777167,9,8,1
777168,9,6,0
777169,10,6,5
777170,9,4,3
777181,9,7,3
777139,9,4,2
777143,9,8,7
777146,11,5,4
777147,9,5,6
777148,9,2,1
777149,9,8,3
777150,9,6,5
777151,9,3,8
777152,9,6,7
777153,9,11,0
777154,9,3,7
777155,9,5,4
777157,9,5,2
777160,9,2,3
777161,9,3,12
777164,9,2,4
777126,9,5,4
777127,9,1,2
777131,9,10,5
777132,9,4,3
777133,9,6,7
777134,9,12,4
777135,9,6,5
777136,9,1,3
777137,11,5,4
777138,9,2,6
777140,9,4,3
777141,9,0,6
777142,9,2,5
777144,9,1,0
777145,9,7,15
777113,9,1,2
777115,9,1,5
777116,9,6,3
777117,9,1,2
777118,9,5,4
777119,11,2,5
777120,10,5,6
777121,9,4,8
777122,9,1,4
777123,9,8,1
777124,9,3,2
777125,9,1,5
777128,9,4,2
777129,9,1,11
777130,9,4,1
777098,9,2,0
777099,9,6,1
777100,9,7,3
777101,9,4,1
777102,9,6,4
777103,9,0,2
777105,9,8,6
777106,9,5,6
777107,9,1,10
777108,9,4,0
777109,10,8,7
777110,9,11,1
777111,9,4,8
777112,9,2,7
777114,9,7,3
777080,9,10,6
777081,9,10,1
777085,9,7,8
777086,11,7,6
777088,9,4,1
777089,9,9,5
777090,9,4,10
777091,9,4,2
777092,9,2,5
777093,9,3,1
777094,9,6,3
777095,9,4,3
777096,9,6,0
777097,9,9,12
777104,9,2,8
777067,9,3,11
777070,9,5,6
777071,9,5,3
777072,9,1,7
777073,9,1,2
777074,9,2,7
777075,9,1,6
777076,9,3,5
777077,9,1,8
777078,9,2,8
777079,9,8,6
777082,9,4,7
777083,9,2,4
777084,9,8,2
777087,9,3,2
777050,9,0,6
777051,9,5,2
777053,9,2,6
777055,9,3,6
777057,9,7,2
777059,9,3,8
777060,9,3,0
777061,9,7,5
777062,9,1,2
777063,10,3,2
777064,9,10,8
777065,9,4,12
777066,9,4,1
777068,9,10,5
777069,9,9,5
777035,9,1,0
777039,9,7,10
777040,9,1,3
777042,9,6,1
777043,9,6,2
777044,9,8,5
777045,9,4,1
777046,9,4,5
777047,9,6,0
777048,9,4,3
777049,9,8,4
777052,9,4,3
777054,9,3,2
777056,9,6,3
777058,9,0,9
777022,9,4,3
777024,9,2,10
777026,9,0,5
777027,9,8,4
777028,9,6,0
777029,9,6,1
777030,9,9,11
777031,9,4,8
777032,9,3,4
777033,9,2,1
777034,9,6,3
777036,9,3,2
777037,9,3,2
777038,11,8,9
777041,9,3,9
777018,9,2,4
777019,9,3,4
777021,9,4,11
777023,9,9,7
777025,9,2,5
777004,9,1,8
777005,9,3,0
777006,10,3,2
777007,9,3,15
777008,9,1,5
777009,9,8,3
777011,9,1,0
777012,9,2,5
777013,9,7,2
777014,11,0,1
777015,9,5,12
777016,9,2,6
777017,9,12,5
777020,9,5,6
776985,9,1,2
776990,9,4,6
776991,9,1,5
776992,9,1,3
776993,10,6,5
776994,9,1,6
776995,9,2,7
776996,9,4,7
776997,9,3,9
776998,9,4,2
776999,9,18,0
777000,9,6,2
777001,9,4,9
777002,9,2,0
777003,9,1,6
777010,10,5,3
776974,9,3,5
776975,9,4,1
776976,9,1,7
776977,9,4,1
776978,9,3,2
776979,9,2,7
776980,9,2,9
776981,9,8,1
776982,9,2,1
776983,9,4,3
776984,9,6,0
776986,9,5,1
776987,9,10,4
776988,9,4,3
776989,9,4,5
776957,9,1,3
776958,9,6,4
776959,9,7,6
776960,9,7,1
776961,9,5,4
776964,9,5,6
776965,9,8,4
776966,9,11,4
776967,9,2,5
776968,9,6,8
776969,9,1,2
776970,9,2,4
776971,9,7,10
776972,9,6,2
776973,9,5,1
776943,9,1,3
776944,9,6,1
776945,9,8,5
776946,9,0,5
776947,9,7,1
776949,9,7,5
776950,9,7,4
776951,9,10,4
776952,9,3,6
776953,9,12,2
776954,9,5,8
776955,9,9,6
776956,9,9,3
776962,9,3,2
776963,9,4,5
778372,9,16,4
776929,9,3,10
776930,9,5,4
