game_pk,game_date,home_expected_runs,away_expected_runs,home_score,away_score
824421.0,2026-06-27,4.3961,4.3881,4,3
824581.0,2026-06-27,4.5528,3.9535,2,1
824745.0,2026-06-27,4.4299,4.1813,4,1
824825.0,2026-06-27,4.4708,4.4281,3,4
822795.0,2026-06-28,4.4884,4.5863,2,3
822959.0,2026-06-28,4.5559,4.2356,5,1
823037.0,2026-06-28,4.5025,4.3818,2,1
823204.0,2026-06-28,4.5633,4.4035,3,2
823281.0,2026-06-28,4.3695,4.3778,2,4
823362.0,2026-06-28,4.5068,4.2365,9,4
823608.0,2026-06-28,4.5068,4.7695,4,5
823686.0,2026-06-28,4.498,4.6528,3,2
823769.0,2026-06-28,4.5016,4.3214,3,4
824011.0,2026-06-28,4.5199,4.6988,4,1
824256.0,2026-06-28,4.5462,4.8466,5,7
824422.0,2026-06-28,4.3961,4.2909,6,5
824580.0,2026-06-28,4.5611,3.9169,4,5
824744.0,2026-06-28,4.4632,4.1897,5,4
824821.0,2026-06-28,4.475,4.1087,4,6
822792.0,2026-06-29,4.498,4.3788,2,1
823121.0,2026-06-29,4.367,4.5372,6,2
823444.0,2026-06-29,4.5806,4.4707,7,11
823529.0,2026-06-29,4.5774,4.6289,3,7
823771.0,2026-06-29,4.5312,4.6393,5,3
824176.0,2026-06-29,4.4743,4.2869,4,5
824339.0,2026-06-29,4.6752,5.6577,7,10
824420.0,2026-06-29,4.4278,4.3121,3,6
824662.0,2026-06-29,4.5138,4.5252,3,2
824741.0,2026-06-29,4.416,4.3624,6,3
824822.0,2026-06-29,4.4737,4.704,2,8
824986.0,2026-06-29,4.5248,4.4165,4,9
825065.0,2026-06-29,4.4909,4.786,5,4
822793.0,2026-06-30,4.498,4.9611,0,3
823122.0,2026-06-30,4.3799,4.4138,8,3
823445.0,2026-06-30,4.5539,4.742,8,0
823528.0,2026-06-30,4.552,4.6759,3,9
823768.0,2026-06-30,4.5344,4.816,7,2
824096.0,2026-06-30,4.4666,4.8322,4,10
824175.0,2026-06-30,4.459,4.2904,6,4
824338.0,2026-06-30,4.612,6.1852,3,14
824418.0,2026-06-30,4.3961,4.3886,2,4
824661.0,2026-06-30,4.5411,4.6971,9,7
824742.0,2026-06-30,4.4548,4.2608,1,8
