game_id,season,week,game_type,gameday,away_team,home_team,away_score,home_score,result,total,spread_line,total_line,n_plays
2019_03_CIN_BUF,2019,3,REG,2019-09-22,CIN,BUF,17,21,4,38,5.5,43.5,183
2019_03_MIA_DAL,2019,3,REG,2019-09-22,MIA,DAL,6,31,25,37,22.0,46.5,182
2019_03_DEN_GB,2019,3,REG,2019-09-22,DEN,GB,16,27,11,43,7.0,42.0,169
2019_03_ATL_IND,2019,3,REG,2019-09-22,ATL,IND,24,27,3,51,1.0,48.0,168
2019_03_BAL_KC,2019,3,REG,2019-09-22,BAL,KC,28,33,5,61,4.5,52.0,191
2019_03_OAK_MIN,2019,3,REG,2019-09-22,OAK,MIN,14,34,20,48,8.5,43.0,157
2019_03_NYJ_NE,2019,3,REG,2019-09-22,NYJ,NE,14,30,16,44,20.5,43.0,173
2019_03_DET_PHI,2019,3,REG,2019-09-22,DET,PHI,27,24,-3,51,4.0,45.0,180
2019_03_CAR_ARI,2019,3,REG,2019-09-22,CAR,ARI,38,20,-18,58,2.5,46.0,179
2019_03_NYG_TB,2019,3,REG,2019-09-22,NYG,TB,32,31,-1,63,5.0,48.0,189
2019_03_HOU_LAC,2019,3,REG,2019-09-22,HOU,LAC,27,20,-7,47,3.0,49.0,176
2019_03_NO_SEA,2019,3,REG,2019-09-22,NO,SEA,33,27,-6,60,5.0,44.0,183
2019_03_PIT_SF,2019,3,REG,2019-09-22,PIT,SF,20,24,4,44,6.0,44.5,171
2019_03_LA_CLE,2019,3,REG,2019-09-22,LA,CLE,20,13,-7,33,-4.0,48.0,174
2019_03_CHI_WAS,2019,3,REG,2019-09-23,CHI,WAS,31,15,-16,46,-5.0,41.0,178
2019_04_PHI_GB,2019,4,REG,2019-09-26,PHI,GB,34,27,-7,61,3.5,46.0,179
2019_04_TEN_ATL,2019,4,REG,2019-09-29,TEN,ATL,24,10,-14,34,3.5,46.0,179
2019_04_CLE_BAL,2019,4,REG,2019-09-29,CLE,BAL,40,25,-15,65,7.5,47.0,178
2019_04_NE_BUF,2019,4,REG,2019-09-29,NE,BUF,16,10,-6,26,-7.0,41.5,191
2019_04_KC_DET,2019,4,REG,2019-09-29,KC,DET,34,30,-4,64,-7.5,54.5,192
2019_04_CAR_HOU,2019,4,REG,2019-09-29,CAR,HOU,16,10,-6,26,5.5,47.5,175
2019_04_OAK_IND,2019,4,REG,2019-09-29,OAK,IND,31,24,-7,55,5.5,46.0,187
2019_04_LAC_MIA,2019,4,REG,2019-09-29,LAC,MIA,30,10,-20,40,-15.0,43.5,156
2019_04_WAS_NYG,2019,4,REG,2019-09-29,WAS,NYG,3,24,21,27,3.0,48.0,160
2019_04_SEA_ARI,2019,4,REG,2019-09-29,SEA,ARI,27,10,-17,37,-5.5,49.0,164
2019_04_TB_LA,2019,4,REG,2019-09-29,TB,LA,55,40,-15,95,9.0,48.5,224
2019_04_MIN_CHI,2019,4,REG,2019-09-29,MIN,CHI,6,16,10,22,-1.0,38.0,168
2019_04_JAX_DEN,2019,4,REG,2019-09-29,JAX,DEN,26,24,-2,50,2.5,37.0,188
2019_04_DAL_NO,2019,4,REG,2019-09-29,DAL,NO,10,12,2,22,-2.5,47.0,163
2019_04_CIN_PIT,2019,4,REG,2019-09-30,CIN,PIT,3,27,24,30,3.5,45.5,161
2019_05_LA_SEA,2019,5,REG,2019-10-03,LA,SEA,29,30,1,59,1.5,49.0,188
2019_05_JAX_CAR,2019,5,REG,2019-10-06,JAX,CAR,27,34,7,61,3.0,41.0,195
2019_05_ARI_CIN,2019,5,REG,2019-10-06,ARI,CIN,26,23,-3,49,3.0,45.0,187
2019_05_ATL_HOU,2019,5,REG,2019-10-06,ATL,HOU,32,53,21,85,4.0,49.0,194
2019_05_TB_NO,2019,5,REG,2019-10-06,TB,NO,24,31,7,55,3.0,46.0,170
2019_05_MIN_NYG,2019,5,REG,2019-10-06,MIN,NYG,28,10,-18,38,-5.5,44.0,177
2019_05_CHI_OAK,2019,5,REG,2019-10-06,CHI,OAK,21,24,3,45,-6.5,39.5,172
2019_05_NYJ_PHI,2019,5,REG,2019-10-06,NYJ,PHI,6,31,25,37,14.0,43.0,162
2019_05_BAL_PIT,2019,5,REG,2019-10-06,BAL,PIT,26,23,-3,49,-3.5,44.0,181
2019_05_BUF_TEN,2019,5,REG,2019-10-06,BUF,TEN,14,7,-7,21,3.5,39.5,163
2019_05_NE_WAS,2019,5,REG,2019-10-06,NE,WAS,33,7,-26,40,-15.5,42.0,179
2019_05_DEN_LAC,2019,5,REG,2019-10-06,DEN,LAC,20,13,-7,33,4.0,46.0,172
2019_05_GB_DAL,2019,5,REG,2019-10-06,GB,DAL,34,24,-10,58,3.5,46.5,194
2019_05_IND_KC,2019,5,REG,2019-10-06,IND,KC,19,13,-6,32,10.5,55.5,181
2019_05_CLE_SF,2019,5,REG,2019-10-07,CLE,SF,3,31,28,34,5.0,47.5,164
2019_06_NYG_NE,2019,6,REG,2019-10-10,NYG,NE,14,35,21,49,16.5,43.0,168
2019_06_CAR_TB,2019,6,REG,2019-10-13,CAR,TB,37,26,-11,63,-2.0,48.5,199
2019_06_CIN_BAL,2019,6,REG,2019-10-13,CIN,BAL,17,23,6,40,10.5,47.0,182
2019_06_SEA_CLE,2019,6,REG,2019-10-13,SEA,CLE,32,28,-4,60,1.0,45.5,189
2019_06_NO_JAX,2019,6,REG,2019-10-13,NO,JAX,13,6,-7,19,2.5,42.5,159
2019_06_HOU_KC,2019,6,REG,2019-10-13,HOU,KC,31,24,-7,55,3.5,54.5,181
2019_06_WAS_MIA,2019,6,REG,2019-10-13,WAS,MIA,17,16,-1,33,-6.0,42.0,177
2019_06_PHI_MIN,2019,6,REG,2019-10-13,PHI,MIN,20,38,18,58,3.5,44.0,180
2019_06_ATL_ARI,2019,6,REG,2019-10-13,ATL,ARI,33,34,1,67,-3.0,52.5,186
2019_06_SF_LA,2019,6,REG,2019-10-13,SF,LA,20,7,-13,27,3.0,49.5,174
2019_06_TEN_DEN,2019,6,REG,2019-10-13,TEN,DEN,0,16,16,16,1.0,41.0,171
2019_06_DAL_NYJ,2019,6,REG,2019-10-13,DAL,NYJ,22,24,2,46,-7.0,43.5,183
2019_06_PIT_LAC,2019,6,REG,2019-10-13,PIT,LAC,24,17,-7,41,6.0,42.5,156
2019_06_DET_GB,2019,6,REG,2019-10-14,DET,GB,22,23,1,45,3.5,47.0,180
2019_07_KC_DEN,2019,7,REG,2019-10-17,KC,DEN,30,6,-24,36,-3.0,49.5,167
2019_07_LA_ATL,2019,7,REG,2019-10-20,LA,ATL,37,10,-27,47,-3.0,54.5,176
2019_07_MIA_BUF,2019,7,REG,2019-10-20,MIA,BUF,21,31,10,52,17.0,42.5,173
2019_07_JAX_CIN,2019,7,REG,2019-10-20,JAX,CIN,27,17,-10,44,-4.0,44.5,196
2019_07_MIN_DET,2019,7,REG,2019-10-20,MIN,DET,42,30,-12,72,-2.5,43.5,191
2019_07_OAK_GB,2019,7,REG,2019-10-20,OAK,GB,24,42,18,66,5.5,48.0,164
2019_07_HOU_IND,2019,7,REG,2019-10-20,HOU,IND,23,30,7,53,1.5,46.5,181
2019_07_ARI_NYG,2019,7,REG,2019-10-20,ARI,NYG,27,21,-6,48,3.5,49.5,178
2019_07_SF_WAS,2019,7,REG,2019-10-20,SF,WAS,9,0,-9,9,-10.0,39.0,142
2019_07_LAC_TEN,2019,7,REG,2019-10-20,LAC,TEN,20,23,3,43,3.0,42.5,163
2019_07_NO_CHI,2019,7,REG,2019-10-20,NO,CHI,36,25,-11,61,4.0,37.0,191
2019_07_BAL_SEA,2019,7,REG,2019-10-20,BAL,SEA,30,16,-14,46,3.0,49.0,172
2019_07_PHI_DAL,2019,7,REG,2019-10-20,PHI,DAL,10,37,27,47,3.0,50.0,169
2019_07_NE_NYJ,2019,7,REG,2019-10-21,NE,NYJ,33,0,-33,33,-9.5,43.0,179
2019_08_WAS_MIN,2019,8,REG,2019-10-24,WAS,MIN,9,19,10,28,16.5,42.0,147
2019_08_SEA_ATL,2019,8,REG,2019-10-27,SEA,ATL,27,20,-7,47,-7.5,48.5,182
2019_08_PHI_BUF,2019,8,REG,2019-10-27,PHI,BUF,31,13,-18,44,1.0,39.5,180
2019_08_LAC_CHI,2019,8,REG,2019-10-27,LAC,CHI,17,16,-1,33,3.5,41.0,169
2019_08_NYG_DET,2019,8,REG,2019-10-27,NYG,DET,26,31,5,57,6.5,49.0,175
2019_08_DEN_IND,2019,8,REG,2019-10-27,DEN,IND,13,15,2,28,6.0,41.0,181
2019_08_NYJ_JAX,2019,8,REG,2019-10-27,NYJ,JAX,15,29,14,44,7.0,39.5,174
2019_08_CIN_LA,2019,8,REG,2019-10-27,CIN,LA,10,24,14,34,12.0,48.5,183
2019_08_ARI_NO,2019,8,REG,2019-10-27,ARI,NO,9,31,22,40,12.5,47.5,163
2019_08_TB_TEN,2019,8,REG,2019-10-27,TB,TEN,23,27,4,50,2.0,45.5,189
2019_08_CAR_SF,2019,8,REG,2019-10-27,CAR,SF,13,51,38,64,4.5,41.0,176
2019_08_OAK_HOU,2019,8,REG,2019-10-27,OAK,HOU,24,27,3,51,5.0,52.0,180
2019_08_CLE_NE,2019,8,REG,2019-10-27,CLE,NE,13,27,14,40,9.5,43.0,181
2019_08_GB_KC,2019,8,REG,2019-10-27,GB,KC,31,24,-7,55,-5.0,48.0,167
2019_08_MIA_PIT,2019,8,REG,2019-10-28,MIA,PIT,14,27,13,41,14.0,44.0,172
2019_09_SF_ARI,2019,9,REG,2019-10-31,SF,ARI,28,25,-3,53,-10.5,43.5,173
2019_09_HOU_JAX,2019,9,REG,2019-11-03,HOU,JAX,26,3,-23,29,1.0,46.0,168
2019_09_WAS_BUF,2019,9,REG,2019-11-03,WAS,BUF,9,24,15,33,10.5,37.0,151
2019_09_TEN_CAR,2019,9,REG,2019-11-03,TEN,CAR,20,30,10,50,3.5,43.0,188
2019_09_MIN_KC,2019,9,REG,2019-11-03,MIN,KC,23,26,3,49,-5.5,46.0,177
2019_09_NYJ_MIA,2019,9,REG,2019-11-03,NYJ,MIA,18,26,8,44,-3.5,42.5,181
2019_09_CHI_PHI,2019,9,REG,2019-11-03,CHI,PHI,14,22,8,36,5.0,41.0,177
2019_09_IND_PIT,2019,9,REG,2019-11-03,IND,PIT,24,26,2,50,1.0,39.5,170
2019_09_DET_OAK,2019,9,REG,2019-11-03,DET,OAK,24,31,7,55,2.5,51.5,183
2019_09_TB_SEA,2019,9,REG,2019-11-03,TB,SEA,34,40,6,74,4.0,51.0,204
2019_09_CLE_DEN,2019,9,REG,2019-11-03,CLE,DEN,19,24,5,43,-4.0,39.0,164
2019_09_GB_LAC,2019,9,REG,2019-11-03,GB,LAC,11,26,15,37,-4.0,50.0,164
2019_09_NE_BAL,2019,9,REG,2019-11-03,NE,BAL,20,37,17,57,-3.0,44.5,178
2019_09_DAL_NYG,2019,9,REG,2019-11-04,DAL,NYG,37,18,-19,55,-6.5,48.5,184
2019_10_LAC_OAK,2019,10,REG,2019-11-07,LAC,OAK,24,26,2,50,-1.0,49.0,173
2019_10_DET_CHI,2019,10,REG,2019-11-10,DET,CHI,13,20,7,33,6.0,38.0,184
2019_10_BAL_CIN,2019,10,REG,2019-11-10,BAL,CIN,49,13,-36,62,-10.5,44.0,157
2019_10_BUF_CLE,2019,10,REG,2019-11-10,BUF,CLE,16,19,3,35,3.0,42.0,178
2019_10_ATL_NO,2019,10,REG,2019-11-10,ATL,NO,26,9,-17,35,14.0,51.5,188
2019_10_NYG_NYJ,2019,10,REG,2019-11-10,NYG,NYJ,27,34,7,61,-3.0,43.0,180
2019_10_ARI_TB,2019,10,REG,2019-11-10,ARI,TB,27,30,3,57,5.5,51.0,198
2019_10_KC_TEN,2019,10,REG,2019-11-10,KC,TEN,32,35,3,67,-5.0,49.0,177
2019_10_MIA_IND,2019,10,REG,2019-11-10,MIA,IND,16,12,-4,28,11.0,44.5,173
2019_10_CAR_GB,2019,10,REG,2019-11-10,CAR,GB,16,24,8,40,5.0,49.0,179
2019_10_LA_PIT,2019,10,REG,2019-11-10,LA,PIT,12,17,5,29,-4.0,43.0,200
2019_10_MIN_DAL,2019,10,REG,2019-11-10,MIN,DAL,28,24,-4,52,3.5,48.5,184
2019_10_SEA_SF,2019,10,REG,2019-11-11,SEA,SF,27,24,-3,51,6.5,47.0,217
2019_11_PIT_CLE,2019,11,REG,2019-11-14,PIT,CLE,7,21,14,28,3.0,41.5,184
2019_11_HOU_BAL,2019,11,REG,2019-11-17,HOU,BAL,7,41,34,48,4.0,51.0,166
2019_11_ATL_CAR,2019,11,REG,2019-11-17,ATL,CAR,29,3,-26,32,3.5,49.0,176
2019_11_DAL_DET,2019,11,REG,2019-11-17,DAL,DET,35,27,-8,62,-7.5,46.5,183
2019_11_JAX_IND,2019,11,REG,2019-11-17,JAX,IND,13,33,20,46,2.5,41.5,167
2019_11_BUF_MIA,2019,11,REG,2019-11-17,BUF,MIA,37,20,-17,57,-7.0,41.5,187
2019_11_DEN_MIN,2019,11,REG,2019-11-17,DEN,MIN,23,27,4,50,10.0,40.5,186
2019_11_NO_TB,2019,11,REG,2019-11-17,NO,TB,34,17,-17,51,-5.0,50.5,176
2019_11_NYJ_WAS,2019,11,REG,2019-11-17,NYJ,WAS,34,17,-17,51,1.0,37.5,181
2019_11_ARI_SF,2019,11,REG,2019-11-17,ARI,SF,26,36,10,62,10.0,44.0,189
2019_11_CIN_OAK,2019,11,REG,2019-11-17,CIN,OAK,10,17,7,27,13.0,48.0,173
2019_11_NE_PHI,2019,11,REG,2019-11-17,NE,PHI,17,10,-7,27,-4.5,45.0,190
2019_11_CHI_LA,2019,11,REG,2019-11-17,CHI,LA,7,17,10,24,5.0,40.0,165
2019_11_KC_LAC,2019,11,REG,2019-11-18,KC,LAC,24,17,-7,41,-5.5,52.5,187
2019_12_IND_HOU,2019,12,REG,2019-11-21,IND,HOU,17,20,3,37,3.5,46.0,164
2019_12_TB_ATL,2019,12,REG,2019-11-24,TB,ATL,35,22,-13,57,3.5,51.5,201
2019_12_DEN_BUF,2019,12,REG,2019-11-24,DEN,BUF,3,20,17,23,3.5,37.0,169
2019_12_NYG_CHI,2019,12,REG,2019-11-24,NYG,CHI,14,19,5,33,6.0,41.0,177
2019_12_PIT_CIN,2019,12,REG,2019-11-24,PIT,CIN,16,10,-6,26,-5.5,37.5,174
2019_12_MIA_CLE,2019,12,REG,2019-11-24,MIA,CLE,24,41,17,65,11.0,45.5,178
2019_12_CAR_NO,2019,12,REG,2019-11-24,CAR,NO,31,34,3,65,10.0,46.0,187
2019_12_OAK_NYJ,2019,12,REG,2019-11-24,OAK,NYJ,3,34,31,37,-3.5,45.0,159
2019_12_SEA_PHI,2019,12,REG,2019-11-24,SEA,PHI,17,9,-8,26,-1.0,45.5,177
2019_12_DET_WAS,2019,12,REG,2019-11-24,DET,WAS,16,19,3,35,-4.0,39.0,179
2019_12_JAX_TEN,2019,12,REG,2019-11-24,JAX,TEN,20,42,22,62,4.5,42.0,177
2019_12_DAL_NE,2019,12,REG,2019-11-24,DAL,NE,9,13,4,22,5.5,44.5,178
2019_12_GB_SF,2019,12,REG,2019-11-24,GB,SF,8,37,29,45,3.0,48.0,166
2019_12_BAL_LA,2019,12,REG,2019-11-25,BAL,LA,45,6,-39,51,-3.5,47.0,170
2019_13_CHI_DET,2019,13,REG,2019-11-28,CHI,DET,24,20,-4,44,-5.5,37.5,181
2019_13_BUF_DAL,2019,13,REG,2019-11-28,BUF,DAL,26,15,-11,41,6.5,46.5,181
2019_13_NO_ATL,2019,13,REG,2019-11-28,NO,ATL,26,18,-8,44,-7.0,48.0,186
2019_13_SF_BAL,2019,13,REG,2019-12-01,SF,BAL,17,20,3,37,5.5,45.0,155
2019_13_WAS_CAR,2019,13,REG,2019-12-01,WAS,CAR,29,21,-8,50,10.5,38.5,184
2019_13_NYJ_CIN,2019,13,REG,2019-12-01,NYJ,CIN,6,22,16,28,-2.5,43.0,182
2019_13_TEN_IND,2019,13,REG,2019-12-01,TEN,IND,31,17,-14,48,-1.0,41.5,172
2019_13_TB_JAX,2019,13,REG,2019-12-01,TB,JAX,28,11,-17,39,-3.0,46.5,189
2019_13_PHI_MIA,2019,13,REG,2019-12-01,PHI,MIA,31,37,6,68,-10.5,45.0,189
2019_13_GB_NYG,2019,13,REG,2019-12-01,GB,NYG,31,13,-18,44,-6.5,43.5,168
2019_13_CLE_PIT,2019,13,REG,2019-12-01,CLE,PIT,13,20,7,33,-1.0,40.0,169
2019_13_LA_ARI,2019,13,REG,2019-12-01,LA,ARI,34,7,-27,41,-2.5,47.0,184
2019_13_LAC_DEN,2019,13,REG,2019-12-01,LAC,DEN,20,23,3,43,-4.5,39.0,167
2019_13_OAK_KC,2019,13,REG,2019-12-01,OAK,KC,9,40,31,49,11.5,49.5,157
2019_13_NE_HOU,2019,13,REG,2019-12-01,NE,HOU,22,28,6,50,-3.5,47.0,182
2019_13_MIN_SEA,2019,13,REG,2019-12-02,MIN,SEA,30,37,7,67,2.5,48.0,178
2019_14_DAL_CHI,2019,14,REG,2019-12-05,DAL,CHI,24,31,7,55,-3.0,43.0,192
2019_14_CAR_ATL,2019,14,REG,2019-12-08,CAR,ATL,20,40,20,60,3.5,48.0,187
2019_14_BAL_BUF,2019,14,REG,2019-12-08,BAL,BUF,24,17,-7,41,-6.5,44.0,182
2019_14_CIN_CLE,2019,14,REG,2019-12-08,CIN,CLE,19,27,8,46,6.5,43.0,168
2019_14_WAS_GB,2019,14,REG,2019-12-08,WAS,GB,15,20,5,35,13.0,42.5,163
2019_14_DEN_HOU,2019,14,REG,2019-12-08,DEN,HOU,38,24,-14,62,8.0,42.5,177
2019_14_DET_MIN,2019,14,REG,2019-12-08,DET,MIN,7,20,13,27,12.0,43.5,182
2019_14_SF_NO,2019,14,REG,2019-12-08,SF,NO,48,46,-2,94,1.0,45.0,192
2019_14_MIA_NYJ,2019,14,REG,2019-12-08,MIA,NYJ,21,22,1,43,5.0,47.0,185
2019_14_IND_TB,2019,14,REG,2019-12-08,IND,TB,35,38,3,73,3.0,46.5,185
2019_14_LAC_JAX,2019,14,REG,2019-12-08,LAC,JAX,45,10,-35,55,-3.5,42.0,165
2019_14_PIT_ARI,2019,14,REG,2019-12-08,PIT,ARI,23,17,-6,40,-2.5,43.5,156
2019_14_KC_NE,2019,14,REG,2019-12-08,KC,NE,23,16,-7,39,3.0,49.5,182
2019_14_TEN_OAK,2019,14,REG,2019-12-08,TEN,OAK,42,21,-21,63,-3.0,47.0,166
2019_14_SEA_LA,2019,14,REG,2019-12-08,SEA,LA,12,28,16,40,1.0,47.5,178
2019_14_NYG_PHI,2019,14,REG,2019-12-09,NYG,PHI,17,23,6,40,9.5,45.5,190
2019_15_NYJ_BAL,2019,15,REG,2019-12-12,NYJ,BAL,21,42,21,63,17.0,44.0,167
2019_15_SEA_CAR,2019,15,REG,2019-12-15,SEA,CAR,30,24,-6,54,-6.0,48.5,182
2019_15_NE_CIN,2019,15,REG,2019-12-15,NE,CIN,34,13,-21,47,-10.5,42.0,177
2019_15_TB_DET,2019,15,REG,2019-12-15,TB,DET,38,17,-21,55,-5.5,46.0,183
2019_15_CHI_GB,2019,15,REG,2019-12-15,CHI,GB,13,21,8,34,4.0,40.0,182
2019_15_DEN_KC,2019,15,REG,2019-12-15,DEN,KC,3,23,20,26,10.0,43.0,157
2019_15_MIA_NYG,2019,15,REG,2019-12-15,MIA,NYG,20,36,16,56,3.5,47.0,186
2019_15_HOU_TEN,2019,15,REG,2019-12-15,HOU,TEN,24,21,-3,45,3.0,50.0,170
2019_15_PHI_WAS,2019,15,REG,2019-12-15,PHI,WAS,37,27,-10,64,-7.0,38.0,174
2019_15_CLE_ARI,2019,15,REG,2019-12-15,CLE,ARI,24,38,14,62,-3.0,49.0,173
2019_15_MIN_LAC,2019,15,REG,2019-12-15,MIN,LAC,39,10,-29,49,-1.0,45.0,167
2019_15_JAX_OAK,2019,15,REG,2019-12-15,JAX,OAK,20,16,-4,36,7.0,47.0,176
2019_15_LA_DAL,2019,15,REG,2019-12-15,LA,DAL,21,44,23,65,-1.0,48.5,186
2019_15_ATL_SF,2019,15,REG,2019-12-15,ATL,SF,29,22,-7,51,10.5,50.0,179
2019_15_BUF_PIT,2019,15,REG,2019-12-15,BUF,PIT,17,10,-7,27,1.0,37.0,165
2019_15_IND_NO,2019,15,REG,2019-12-16,IND,NO,7,34,27,41,8.0,48.5,163
2019_16_HOU_TB,2019,16,REG,2019-12-21,HOU,TB,23,20,-3,43,-3.0,50.0,182
2019_16_BUF_NE,2019,16,REG,2019-12-21,BUF,NE,17,24,7,41,7.0,39.5,169
2019_16_LA_SF,2019,16,REG,2019-12-21,LA,SF,31,34,3,65,7.0,45.5,181
2019_16_JAX_ATL,2019,16,REG,2019-12-22,JAX,ATL,12,24,12,36,7.5,48.0,178
2019_16_BAL_CLE,2019,16,REG,2019-12-22,BAL,CLE,31,15,-16,46,-9.5,48.5,170
2019_16_CAR_IND,2019,16,REG,2019-12-22,CAR,IND,6,38,32,44,7.5,46.0,169
2019_16_CIN_MIA,2019,16,REG,2019-12-22,CIN,MIA,35,38,3,73,-1.5,46.0,245
2019_16_PIT_NYJ,2019,16,REG,2019-12-22,PIT,NYJ,10,16,6,26,-3.0,36.5,169
2019_16_NO_TEN,2019,16,REG,2019-12-22,NO,TEN,38,28,-10,66,-3.5,49.0,184
2019_16_NYG_WAS,2019,16,REG,2019-12-22,NYG,WAS,41,35,-6,76,-1.0,42.0,189
2019_16_DET_DEN,2019,16,REG,2019-12-22,DET,DEN,17,27,10,44,9.5,40.0,161
2019_16_OAK_LAC,2019,16,REG,2019-12-22,OAK,LAC,24,17,-7,41,7.5,45.0,164
2019_16_DAL_PHI,2019,16,REG,2019-12-22,DAL,PHI,9,17,8,26,-2.0,47.0,177
2019_16_ARI_SEA,2019,16,REG,2019-12-22,ARI,SEA,27,13,-14,40,8.0,51.0,178
2019_16_KC_CHI,2019,16,REG,2019-12-22,KC,CHI,26,3,-23,29,-6.5,45.5,166
2019_16_GB_MIN,2019,16,REG,2019-12-23,GB,MIN,23,10,-13,33,4.0,47.0,174
2019_17_NYJ_BUF,2019,17,REG,2019-12-29,NYJ,BUF,13,6,-7,19,-1.5,37.0,175
2019_17_NO_CAR,2019,17,REG,2019-12-29,NO,CAR,42,10,-32,52,-13.5,45.0,180
2019_17_CLE_CIN,2019,17,REG,2019-12-29,CLE,CIN,23,33,10,56,-2.5,44.0,166
2019_17_GB_DET,2019,17,REG,2019-12-29,GB,DET,23,20,-3,43,-13.5,44.0,195
2019_17_LAC_KC,2019,17,REG,2019-12-29,LAC,KC,21,31,10,52,10.0,46.0,165
2019_17_CHI_MIN,2019,17,REG,2019-12-29,CHI,MIN,21,19,-2,40,-5.5,36.5,164
2019_17_MIA_NE,2019,17,REG,2019-12-29,MIA,NE,27,24,-3,51,17.5,46.0,170
2019_17_ATL_TB,2019,17,REG,2019-12-29,ATL,TB,28,22,-6,50,1.0,48.0,184
2019_17_PIT_BAL,2019,17,REG,2019-12-29,PIT,BAL,10,28,18,38,-2.0,35.0,165
2019_17_WAS_DAL,2019,17,REG,2019-12-29,WAS,DAL,16,47,31,63,13.0,47.5,184
2019_17_OAK_DEN,2019,17,REG,2019-12-29,OAK,DEN,15,16,1,31,5.5,41.5,181
2019_17_TEN_HOU,2019,17,REG,2019-12-29,TEN,HOU,35,14,-21,49,-10.0,43.0,169
2019_17_IND_JAX,2019,17,REG,2019-12-29,IND,JAX,20,38,18,58,-5.0,41.5,163
2019_17_ARI_LA,2019,17,REG,2019-12-29,ARI,LA,24,31,7,55,7.0,46.0,196
2019_17_PHI_NYG,2019,17,REG,2019-12-29,PHI,NYG,34,17,-17,51,-4.0,44.0,197
2019_17_SF_SEA,2019,17,REG,2019-12-29,SF,SEA,26,21,-5,47,-3.5,47.0,165
2019_18_BUF_HOU,2019,18,WC,2020-01-04,BUF,HOU,19,22,3,41,2.5,43.0,201
2019_18_TEN_NE,2019,18,WC,2020-01-04,TEN,NE,20,13,-7,33,4.5,45.0,166
